RunId,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
83,83,0.18458333333333332,1200.0,2.0,0.1,167.0,1,1,305.0
84,84,0.11358333333333334,1200.0,0.0,0.0,178.0,1,1,181.0
85,85,0.07091666666666666,1200.0,0.0,0.0,129.0,1,1,100.0
86,86,0.13991666666666666,1200.0,1.0,0.05,219.0,1,1,63.0
87,87,0.146125,1200.0,1.0,0.05,166.0,1,1,275.0
88,88,0.17379166666666668,1200.0,1.0,0.05,251.0,1,1,136.0
89,89,0.14520833333333333,1200.0,1.0,0.05,191.0,1,1,166.0
90,90,0.1681666666666667,1200.0,1.0,0.05,149.0,1,1,308.0
91,91,0.11583333333333333,1200.0,0.0,0.0,220.0,1,1,86.0
92,92,0.092875,1200.0,0.0,0.0,234.0,1,1,43.0
93,93,0.19566666666666668,1200.0,1.0,0.05,231.0,1,1,379.0
94,94,0.17333333333333334,1200.0,1.0,0.05,292.0,1,1,192.0
95,95,0.14370833333333333,1200.0,1.0,0.05,117.0,1,1,306.0
96,96,0.12170833333333335,1200.0,0.0,0.0,190.0,1,1,134.0
97,97,0.09829166666666667,1200.0,1.0,0.05,133.0,1,1,56.0
98,98,0.08095833333333334,1200.0,0.0,0.0,165.0,1,1,28.0
99,99,0.10679166666666667,1200.0,0.0,0.0,133.0,1,1,157.0
