Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
14.0,14.0,100,9.64,0.559942276967326,0.9640000000000001,0.05599422769673257,0.036000000000000004,0.0559942276967326,0.0,0.0,0.005999999999999998,0.0238683256575942,0.36,0.5599422769673258,9.64,0.559942276967326,0.25,0.47937248544110234,0.11,0.3450955072018602,19.51,0.9155778657672043,16.54,3.121835771762919,0.49,0.9155778657672042,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
15.0,15.0,100,9.56,0.640706680552849,0.956,0.06407066805528487,0.044000000000000004,0.06407066805528489,0.0,0.0,0.008,0.030748244591432293,0.44,0.640706680552849,9.56,0.640706680552849,0.32,0.5101000100000197,0.12,0.3265986323710905,19.38,1.098943477926306,16.35,3.2141574449314207,0.62,1.0989434779263068,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
16.0,16.0,100,9.47,0.6883591968139772,0.9470000000000001,0.0688359196813977,0.053000000000000005,0.06883591968139774,0.0,0.0,0.009,0.03208259542638234,0.53,0.6883591968139773,9.47,0.6883591968139772,0.29,0.5182526976156117,0.24,0.4521553322083513,19.19,1.1607642901871758,16.21,3.0986963697528016,0.81,1.1607642901871758,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
17.0,17.0,100,9.42,0.713222874483754,0.9420000000000001,0.07132228744837536,0.05800000000000001,0.0713222874483754,0.0,0.0,0.004999999999999999,0.02190429135575903,0.58,0.7132228744837539,9.42,0.713222874483754,0.43,0.6236905474591539,0.15,0.35887028128263665,19.19,1.2034881961963055,16.05,3.14746972289896,0.81,1.2034881961963062,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
18.0,18.0,100,9.36,0.7852169487254184,0.9359999999999999,0.07852169487254186,0.064,0.07852169487254186,0.0,0.0,0.006,0.027779797906341427,0.64,0.7852169487254186,9.36,0.7852169487254184,0.46,0.7023769168568491,0.18,0.41145221993924064,19.1,1.2431631210161216,16.03,3.0926925929919826,0.9,1.243163121016122,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
19.0,19.0,100,9.31,0.7874649262672017,0.9309999999999999,0.07874649262672022,0.069,0.07874649262672022,0.0,0.0,0.004999999999999999,0.026111648393354676,0.69,0.7874649262672022,9.31,0.7874649262672017,0.49,0.7034546786030246,0.2,0.4264014327112209,19.06,1.1618515352225474,16.02,2.9881246441353286,0.94,1.1618515352225471,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
20.0,20.0,100,9.19,0.8491826135237996,0.919,0.08491826135237998,0.081,0.08491826135237995,0.0,0.0,0.011999999999999997,0.038349798835288176,0.81,0.8491826135237996,9.19,0.8491826135237996,0.63,0.7740096311357558,0.18,0.38612291966536916,18.92,1.323295549418614,15.97,2.976184935059776,1.08,1.323295549418614,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
21.0,21.0,100,9.13,0.8367203894378394,0.9129999999999999,0.08367203894378393,0.08700000000000001,0.08367203894378397,0.0,0.0,0.005999999999999998,0.023868325657594194,0.87,0.8367203894378397,9.13,0.8367203894378394,0.65,0.7436600722307894,0.22,0.5041244034376974,18.78,1.4604551663537275,16.06,2.8808668729036992,1.22,1.4604551663537269,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
22.0,22.0,100,9.05,0.8453676505795952,0.905,0.0845367650579595,0.095,0.08453676505795953,0.0,0.0,0.007999999999999998,0.027265992434429072,0.95,0.8453676505795953,9.05,0.8453676505795952,0.7,0.7316785737969477,0.25,0.5,18.76,1.2722365576361412,15.96,2.8812174755499003,1.24,1.2722365576361412,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
23.0,23.0,100,8.97,0.8698658900466596,0.897,0.08698658900466591,0.10300000000000001,0.08698658900466594,0.0,0.0,0.008,0.027265992434429065,1.03,0.8698658900466594,8.97,0.8698658900466596,0.87,0.8122173167921068,0.16,0.3949172013974524,18.8,1.1101005505463162,16.01,2.815882085455979,1.2,1.1101005505463153,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
24.0,24.0,100,8.89,0.8633385983225442,0.889,0.08633385983225444,0.11100000000000002,0.08633385983225442,0.0,0.0,0.007999999999999998,0.030748244591432286,1.11,0.8633385983225444,8.89,0.8633385983225442,0.98,0.8285316206788044,0.13,0.3932511470376973,18.77,1.0527021507443681,16.13,2.6992516733271836,1.23,1.052702150744368,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
25.0,25.0,100,8.81,0.8954994092232517,0.8810000000000001,0.08954994092232511,0.11900000000000001,0.08954994092232511,0.0,0.0,0.008,0.027265992434429086,1.19,0.8954994092232512,8.81,0.8954994092232517,1.01,0.8586458683722454,0.18,0.43531017619043727,18.64,1.1238462096880972,16.16,2.6504049623871566,1.36,1.1238462096880975,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
26.0,26.0,100,8.71,0.9352253550061961,0.8710000000000001,0.09352253550061956,0.129,0.09352253550061955,0.0,0.0,0.010000000000000002,0.030151134457776375,1.29,0.9352253550061956,8.71,0.9352253550061961,1.12,0.9020739291972548,0.17,0.4033946860424325,18.5,1.2431631210161218,16.05,2.757450879623308,1.5,1.2431631210161223,10.0,0.0,10.0,0.0,1.0,0.0,0.5,0.0,3.13,1.5219272736443836
