RunId,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
0,0,0.15525,1200.0,0.0,0.0,359.0,1,1,0.0
1,1,0.11379166666666668,1200.0,0.0,0.0,306.0,1,1,3.0
2,2,0.149,1200.0,0.0,0.0,408.0,1,1,0.0
3,3,0.15191666666666667,1200.0,0.0,0.0,482.0,1,1,23.0
4,4,0.12233333333333335,1200.0,0.0,0.0,249.0,1,1,0.0
5,5,0.168125,1200.0,0.0,0.0,600.0,1,1,0.0
6,6,0.15783333333333333,1200.0,0.0,0.0,448.0,1,1,84.0
7,7,0.1715,1200.0,0.0,0.0,610.0,1,1,10.0
8,8,0.16408333333333333,1200.0,0.0,0.0,509.0,1,1,0.0
9,9,0.15887500000000002,1200.0,0.0,0.0,314.0,1,1,47.0
10,10,0.16258333333333333,1200.0,0.0,0.0,486.0,1,1,11.0
11,11,0.149375,1200.0,0.0,0.0,436.0,1,1,0.0
12,12,0.10233333333333333,1200.0,0.0,0.0,201.0,1,1,0.0
13,13,0.14645833333333333,1200.0,0.0,0.0,454.0,1,1,0.0
14,14,0.13037500000000002,1200.0,0.0,0.0,272.0,1,1,0.0
15,15,0.13558333333333333,1200.0,0.0,0.0,232.0,1,1,0.0
16,16,0.07554166666666667,1200.0,0.0,0.0,180.0,1,1,0.0
17,17,0.174375,1200.0,0.0,0.0,615.0,1,1,15.0
18,18,0.15645833333333334,1200.0,0.0,0.0,336.0,1,1,0.0
19,19,0.18945833333333334,1200.0,0.0,0.0,560.0,1,1,0.0
20,20,0.11945833333333333,1200.0,0.0,0.0,289.0,1,1,0.0
21,21,0.16216666666666665,1200.0,0.0,0.0,436.0,1,1,0.0
22,22,0.09799999999999999,1200.0,0.0,0.0,267.0,1,1,0.0
23,23,0.11795833333333335,1200.0,0.0,0.0,306.0,1,1,0.0
24,24,0.14983333333333335,1200.0,0.0,0.0,456.0,1,1,0.0
25,25,0.09362500000000001,1200.0,0.0,0.0,351.0,1,1,0.0
26,26,0.19745833333333335,1200.0,0.0,0.0,600.0,1,1,0.0
27,27,0.11133333333333333,1200.0,0.0,0.0,204.0,1,1,0.0
28,28,0.14745833333333333,1200.0,0.0,0.0,324.0,1,1,0.0
29,29,0.12670833333333334,1200.0,0.0,0.0,337.0,1,1,0.0
30,30,0.14179166666666668,1200.0,0.0,0.0,419.0,1,1,0.0
31,31,0.1645,1200.0,0.0,0.0,404.0,1,1,44.0
32,32,0.124875,1200.0,0.0,0.0,281.0,1,1,0.0
33,33,0.15154166666666666,1200.0,0.0,0.0,579.0,1,1,0.0
34,34,0.19529166666666667,1200.0,0.0,0.0,615.0,1,1,15.0
35,35,0.172375,1200.0,0.0,0.0,600.0,1,1,0.0
36,36,0.11233333333333334,1200.0,0.0,0.0,391.0,1,1,0.0
37,37,0.1205,1200.0,0.0,0.0,411.0,1,1,1.0
38,38,0.12208333333333334,1200.0,0.0,0.0,316.0,1,1,3.0
39,39,0.11466666666666667,1200.0,0.0,0.0,325.0,1,1,0.0
40,40,0.16495833333333335,1200.0,0.0,0.0,586.0,1,1,38.0
