RunId,priority_range_width,drone_sensing_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
69,0,15.0,17,0.28958333333333336,600.0,1.0,0.05,353.0,0,0,
70,0,20.0,17,0.2890833333333333,600.0,1.0,0.05,262.0,0,0,
71,0,25.0,17,0.19425,600.0,0.0,0.0,217.0,0,0,
72,0,10.0,18,0.30266666666666664,600.0,1.0,0.05,287.0,0,0,
73,0,15.0,18,0.2825,600.0,3.0,0.15,,0,0,
74,0,20.0,18,0.29783333333333334,600.0,2.0,0.1,460.0,0,0,
75,0,25.0,18,0.35541666666666666,600.0,4.0,0.2,,0,0,
76,0,10.0,19,0.26125,600.0,2.0,0.1,356.0,0,0,
77,0,15.0,19,0.31133333333333335,600.0,4.0,0.2,,0,0,
78,0,20.0,19,0.33458333333333334,600.0,3.0,0.15,,0,0,
79,0,25.0,19,0.3016666666666667,600.0,3.0,0.15,,0,0,
80,0,10.0,20,0.35425,600.0,3.0,0.15,,0,0,
81,0,15.0,20,0.24658333333333332,600.0,1.0,0.05,227.0,0,0,
82,0,20.0,20,0.21583333333333332,600.0,0.0,0.0,210.0,0,0,
83,0,25.0,20,0.3343333333333333,600.0,3.0,0.15,,0,0,
84,0,10.0,21,0.3715833333333333,600.0,3.0,0.15,,0,0,
85,0,15.0,21,0.39466666666666667,600.0,3.0,0.15,,0,0,
86,0,20.0,21,0.33791666666666664,600.0,1.0,0.05,428.0,0,0,
87,0,25.0,21,0.36433333333333334,600.0,3.0,0.15,,0,0,
88,0,10.0,22,0.3053333333333333,600.0,2.0,0.1,466.0,0,0,
89,0,15.0,22,0.2546666666666667,600.0,2.0,0.1,439.0,0,0,
90,0,20.0,22,0.18716666666666668,600.0,1.0,0.05,273.0,0,0,
91,0,25.0,22,0.1875,600.0,1.0,0.05,136.0,0,0,
92,0,10.0,23,0.22599999999999998,600.0,0.0,0.0,334.0,0,0,
93,0,15.0,23,0.20450000000000002,600.0,1.0,0.05,238.0,0,0,
94,0,20.0,23,0.19983333333333334,600.0,1.0,0.05,235.0,0,0,
95,0,25.0,23,0.1975,600.0,0.0,0.0,267.0,0,0,
96,0,10.0,24,0.23566666666666666,600.0,1.0,0.05,258.0,0,0,
97,0,15.0,24,0.17941666666666667,600.0,0.0,0.0,187.0,0,0,
98,0,20.0,24,0.17458333333333334,600.0,0.0,0.0,159.0,0,0,
99,0,25.0,24,0.28650000000000003,600.0,1.0,0.05,454.0,0,0,
100,0,10.0,25,0.33516666666666667,600.0,1.0,0.05,567.0,0,0,
101,0,15.0,25,0.28733333333333333,600.0,3.0,0.15,,0,0,
102,0,20.0,25,0.3965833333333333,600.0,5.0,0.25,,0,0,
103,0,25.0,25,0.17475000000000002,600.0,0.0,0.0,253.0,0,0,
104,0,10.0,26,0.4245833333333333,600.0,3.0,0.15,,0,0,
105,0,15.0,26,0.3968333333333333,600.0,2.0,0.1,550.0,0,0,
106,0,20.0,26,0.196,600.0,0.0,0.0,281.0,0,0,
107,0,25.0,26,0.37625,600.0,4.0,0.2,,0,0,
108,0,10.0,27,0.28825,600.0,3.0,0.15,,0,0,
109,0,15.0,27,0.17425,600.0,0.0,0.0,189.0,0,0,
110,0,20.0,27,0.20633333333333334,600.0,2.0,0.1,294.0,0,0,
111,0,25.0,27,0.1285,600.0,0.0,0.0,168.0,0,0,
112,0,10.0,28,0.3411666666666667,600.0,2.0,0.1,506.0,0,0,
113,0,15.0,28,0.26033333333333336,600.0,2.0,0.1,275.0,0,0,
114,0,20.0,28,0.23866666666666664,600.0,0.0,0.0,315.0,0,0,
115,0,25.0,28,0.26908333333333334,600.0,3.0,0.15,,0,0,
116,0,10.0,29,0.307,600.0,2.0,0.1,498.0,0,0,
117,0,15.0,29,0.26558333333333334,600.0,1.0,0.05,301.0,0,0,
118,0,20.0,29,0.2859166666666667,600.0,1.0,0.05,335.0,0,0,
119,0,25.0,29,0.32958333333333334,600.0,4.0,0.2,,0,0,
120,0,10.0,30,0.3125,600.0,3.0,0.15,,0,0,
121,0,15.0,30,0.19883333333333333,600.0,0.0,0.0,395.0,0,0,
122,0,20.0,30,0.15616666666666668,600.0,0.0,0.0,99.0,0,0,
123,0,25.0,30,0.13491666666666668,600.0,0.0,0.0,111.0,0,0,
124,0,10.0,31,0.41458333333333336,600.0,3.0,0.15,,0,0,
125,0,15.0,31,0.35875,600.0,4.0,0.2,,0,0,
126,0,20.0,31,0.4153333333333334,600.0,4.0,0.2,,0,0,
127,0,25.0,31,0.33216666666666667,600.0,3.0,0.15,,0,0,
128,0,10.0,32,0.327,600.0,3.0,0.15,,0,0,
129,0,15.0,32,0.32858333333333334,600.0,3.0,0.15,,0,0,
130,0,20.0,32,0.35400000000000004,600.0,4.0,0.2,,0,0,
131,0,25.0,32,0.26808333333333334,600.0,1.0,0.05,338.0,0,0,
132,0,10.0,33,0.33758333333333335,600.0,4.0,0.2,,0,0,
133,0,15.0,33,0.21825000000000003,600.0,0.0,0.0,199.0,0,0,
134,0,20.0,33,0.22941666666666669,600.0,1.0,0.05,229.0,0,0,
135,0,25.0,33,0.3431666666666667,600.0,4.0,0.2,,0,0,
136,0,10.0,34,0.42725,600.0,2.0,0.1,569.0,0,0,
137,0,15.0,34,0.34958333333333336,600.0,2.0,0.1,568.0,0,0,
138,0,20.0,34,0.30050000000000004,600.0,1.0,0.05,341.0,0,0,
139,0,25.0,34,0.34858333333333336,600.0,3.0,0.15,,0,0,
140,0,10.0,35,0.35866666666666663,600.0,5.0,0.25,,0,0,
141,0,15.0,35,0.35008333333333336,600.0,4.0,0.2,,0,0,
142,0,20.0,35,0.33625,600.0,4.0,0.2,,0,0,
143,0,25.0,35,0.3119166666666667,600.0,3.0,0.15,,0,0,
144,0,10.0,36,0.2565,600.0,2.0,0.1,360.0,0,0,
145,0,15.0,36,0.26525,600.0,1.0,0.05,335.0,0,0,
146,0,20.0,36,0.26491666666666663,600.0,2.0,0.1,451.0,0,0,
147,0,25.0,36,0.36074999999999996,600.0,4.0,0.2,,0,0,
148,0,10.0,37,0.24183333333333332,600.0,1.0,0.05,459.0,0,0,
149,0,15.0,37,0.26516666666666666,600.0,2.0,0.1,502.0,0,0,
150,0,20.0,37,0.32991666666666664,600.0,0.0,0.0,567.0,0,0,
151,0,25.0,37,0.21933333333333332,600.0,1.0,0.05,231.0,0,0,
152,0,10.0,38,0.287,600.0,2.0,0.1,224.0,0,0,
153,0,15.0,38,0.26391666666666663,600.0,2.0,0.1,356.0,0,0,
154,0,20.0,38,0.29941666666666666,600.0,0.0,0.0,407.0,0,0,
155,0,25.0,38,0.2615,600.0,0.0,0.0,396.0,0,0,
156,0,10.0,39,0.22699999999999998,600.0,0.0,0.0,284.0,0,0,
157,0,15.0,39,0.21225,600.0,0.0,0.0,386.0,0,0,
158,0,20.0,39,0.2001666666666667,600.0,0.0,0.0,274.0,0,0,
159,0,25.0,39,0.18175,600.0,1.0,0.05,213.0,0,0,
160,0,10.0,40,0.2809166666666667,600.0,2.0,0.1,241.0,0,0,
161,0,15.0,40,0.3893333333333333,600.0,3.0,0.15,,0,0,
162,0,20.0,40,0.4471666666666667,600.0,4.0,0.2,,0,0,
163,0,25.0,40,0.40791666666666665,600.0,3.0,0.15,,0,0,
164,0,10.0,41,0.4269166666666666,600.0,5.0,0.25,,0,0,
165,0,15.0,41,0.23008333333333336,600.0,1.0,0.05,195.0,0,0,
166,0,20.0,41,0.24975,600.0,0.0,0.0,239.0,0,0,
167,0,25.0,41,0.23425,600.0,0.0,0.0,206.0,0,0,
168,0,10.0,42,0.32483333333333336,600.0,4.0,0.2,,0,0,
169,0,15.0,42,0.28833333333333333,600.0,1.0,0.05,404.0,0,0,
170,0,20.0,42,0.26225,600.0,2.0,0.1,346.0,0,0,
171,0,25.0,42,0.282,600.0,3.0,0.15,,0,0,
172,0,10.0,43,0.306,600.0,1.0,0.05,378.0,0,0,
173,0,15.0,43,0.29625,600.0,3.0,0.15,,0,0,
174,0,20.0,43,0.39566666666666667,600.0,4.0,0.2,,0,0,
175,0,25.0,43,0.18016666666666667,600.0,0.0,0.0,218.0,0,0,
176,0,10.0,44,0.224,600.0,0.0,0.0,469.0,0,0,
177,0,15.0,44,0.2659166666666667,600.0,2.0,0.1,599.0,0,0,
178,0,20.0,44,0.1855,600.0,0.0,0.0,242.0,0,0,
179,0,25.0,44,0.24391666666666667,600.0,0.0,0.0,520.0,0,0,
180,0,10.0,45,0.329,600.0,1.0,0.05,300.0,0,0,
181,0,15.0,45,0.32,600.0,1.0,0.05,317.0,0,0,
182,0,20.0,45,0.3680833333333333,600.0,2.0,0.1,504.0,0,0,
183,0,25.0,45,0.38158333333333333,600.0,4.0,0.2,,0,0,
184,0,10.0,46,0.32716666666666666,600.0,1.0,0.05,296.0,0,0,
185,0,15.0,46,0.4121666666666667,600.0,3.0,0.15,,0,0,
186,0,20.0,46,0.31775000000000003,600.0,2.0,0.1,395.0,0,0,
187,0,25.0,46,0.24591666666666667,600.0,0.0,0.0,314.0,0,0,
