Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
15.0,15.0,100,19.33,1.0546194679704242,0.9665,0.05273097339852125,0.0335,0.05273097339852125,0.0,0.0,0.006499999999999999,0.022082261266144425,0.44,0.640706680552849,9.77,0.4893822120745195,0.15,0.41132945334843113,0.08,0.2726599243442907,19.21,1.3728610544215585,16.23,3.256244971302269,0.79,1.3728610544215587,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
16.0,16.0,100,19.14,1.1635890141881684,0.9570000000000001,0.05817945070940842,0.043,0.058179450709408415,0.0,0.0,0.009499999999999996,0.020955701232395298,0.53,0.6883591968139773,9.67,0.5514901759246625,0.19,0.44255913261233915,0.14,0.37658754867650873,18.98,1.4905764595679698,16.04,3.1938071388867613,1.02,1.4905764595679691,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
17.0,17.0,100,19.03,1.2098501451573962,0.9515,0.060492507257869796,0.04850000000000001,0.06049250725786984,0.0,0.0,0.005499999999999998,0.017254775360092997,0.58,0.7132228744837539,9.61,0.5666666666666665,0.3,0.5222329678670935,0.09,0.2876234912646614,18.88,1.5523198670689524,15.83,3.2661564227357185,1.12,1.5523198670689524,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
18.0,18.0,100,18.91,1.3188225541341514,0.9455,0.06594112770670763,0.0545,0.06594112770670763,0.0,0.0,0.005999999999999997,0.01917489941764408,0.64,0.7852169487254186,9.55,0.6092717958449426,0.31,0.5448565745851718,0.14,0.3487350880197771,18.71,1.6654237789933113,15.69,3.2650428864725587,1.29,1.665423778993312,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
19.0,19.0,100,18.82,1.3881169572009002,0.941,0.069405847860045,0.059000000000000004,0.06940584786004504,0.0,0.0,0.0045000000000000005,0.01604129771319118,0.69,0.7874649262672022,9.51,0.6889459083603475,0.33,0.6365151334819269,0.16,0.3684529491774707,18.62,1.6562096192904756,15.64,3.1988634345228415,1.38,1.6562096192904756,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
20.0,20.0,100,18.64,1.4669421228934667,0.932,0.07334710614467335,0.068,0.07334710614467335,0.0,0.0,0.009000000000000003,0.021765508809521866,0.81,0.8491826135237996,9.45,0.7017294652672368,0.41,0.6528105515091006,0.14,0.34873508801977693,18.44,1.7884025940441484,15.58,3.166044595996459,1.56,1.7884025940441484,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
21.0,21.0,100,18.54,1.4935551783268908,0.927,0.07467775891634451,0.073,0.07467775891634455,0.0,0.0,0.005000000000000001,0.015075567228888186,0.87,0.8367203894378397,9.41,0.7398471040517339,0.4,0.6195469181897235,0.19,0.44255913261233903,18.24,2.0006059688065116,15.51,3.1574666996812426,1.76,2.0006059688065116,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
22.0,22.0,100,18.38,1.5490629295144724,0.919,0.07745314647572361,0.081,0.07745314647572363,0.0,0.0,0.008,0.01842264745887353,0.95,0.8453676505795953,9.33,0.7792122414154679,0.49,0.6434597143880914,0.18,0.43531017619043716,18.19,1.846071449857723,15.4,3.113995776646092,1.81,1.8460714498577235,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
23.0,23.0,100,18.22,1.5927867707165624,0.9109999999999999,0.07963933853582812,0.08900000000000001,0.07963933853582812,0.0,0.0,0.007999999999999998,0.018422647458873526,1.03,0.8698658900466594,9.25,0.7961396760860395,0.69,0.7874649262672023,0.06,0.23868325657594203,18.15,1.701900304502189,15.37,3.0868080339379445,1.85,1.7019003045021897,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
24.0,24.0,100,18.07,1.590724376001085,0.9035,0.07953621880005421,0.0965,0.07953621880005425,0.0,0.0,0.007499999999999998,0.02056647266742155,1.11,0.8633385983225444,9.18,0.8087900927567134,0.74,0.7865022940753945,0.08,0.27265992434429076,18.03,1.641968515550955,15.42,2.944537829660714,1.97,1.641968515550955,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
