RunId,match,drone_sensing_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
59,0.2,25.0,5,0.39916666666666667,600.0,9.0,0.3,149.0,0,0,
60,0.0,10.0,6,0.41944444444444445,600.0,7.0,0.2333333333333333,247.0,0,0,
61,0.025,10.0,6,0.37833333333333335,600.0,7.0,0.2333333333333333,228.0,0,0,
62,0.05,10.0,6,0.3824444444444444,600.0,7.0,0.2333333333333333,167.0,0,0,
63,0.1,10.0,6,0.32405555555555554,600.0,5.0,0.1666666666666666,180.0,0,0,
64,0.2,10.0,6,0.3231666666666666,600.0,4.0,0.1333333333333333,147.0,0,0,
65,0.0,25.0,6,0.3748888888888888,600.0,7.0,0.2333333333333333,217.0,0,0,
66,0.025,25.0,6,0.3825,600.0,6.0,0.2,228.0,0,0,
67,0.05,25.0,6,0.3703888888888889,600.0,5.0,0.1666666666666666,210.0,0,0,
68,0.1,25.0,6,0.3987222222222222,600.0,7.0,0.2333333333333333,194.0,0,0,
69,0.2,25.0,6,0.4304444444444444,600.0,6.0,0.2,293.0,0,0,
70,0.0,10.0,7,0.46166666666666667,600.0,10.0,0.3333333333333333,270.0,0,0,
71,0.025,10.0,7,0.4734999999999999,600.0,10.0,0.3333333333333333,308.0,0,0,
72,0.05,10.0,7,0.4843333333333334,600.0,11.0,0.3666666666666666,274.0,0,0,
73,0.1,10.0,7,0.45122222222222214,600.0,10.0,0.3333333333333333,179.0,0,0,
74,0.2,10.0,7,0.43333333333333335,600.0,10.0,0.3333333333333333,211.0,0,0,
75,0.0,25.0,7,0.4486111111111111,600.0,10.0,0.3333333333333333,221.0,0,0,
76,0.025,25.0,7,0.4943888888888889,600.0,10.0,0.3333333333333333,345.0,0,0,
77,0.05,25.0,7,0.4568888888888889,600.0,10.0,0.3333333333333333,254.0,0,0,
