RunId,cohere,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
65,0.15,13,0.5067777777777778,600.0,11.0,0.3666666666666666,357.0,0,0,
66,0.25,13,0.5068888888888888,600.0,11.0,0.3666666666666666,334.0,0,0,
67,0.35,13,0.5141111111111111,600.0,11.0,0.3666666666666666,344.0,0,0,
68,0.45,13,0.4335555555555555,600.0,9.0,0.3,202.0,0,0,
69,0.6,13,0.4883888888888888,600.0,9.0,0.3,215.0,0,0,
70,0.15,14,0.5376111111111112,600.0,10.0,0.3333333333333333,415.0,0,0,
71,0.25,14,0.5628333333333333,600.0,9.0,0.3,478.0,0,0,
72,0.35,14,0.546611111111111,600.0,10.0,0.3333333333333333,427.0,0,0,
73,0.45,14,0.5602222222222222,600.0,10.0,0.3333333333333333,480.0,0,0,
74,0.6,14,0.5403888888888889,600.0,10.0,0.3333333333333333,341.0,0,0,
75,0.15,15,0.5913333333333333,600.0,11.0,0.3666666666666666,458.0,0,0,
76,0.25,15,0.4096111111111111,600.0,7.0,0.2333333333333333,179.0,0,0,
77,0.35,15,0.4678333333333333,600.0,7.0,0.2333333333333333,399.0,0,0,
78,0.45,15,0.4973333333333333,600.0,11.0,0.3666666666666666,398.0,0,0,
79,0.6,15,0.49066666666666664,600.0,8.0,0.2666666666666666,388.0,0,0,
80,0.15,16,0.34933333333333333,600.0,4.0,0.1333333333333333,223.0,0,0,
81,0.25,16,0.37755555555555553,600.0,5.0,0.1666666666666666,224.0,0,0,
82,0.35,16,0.37827777777777777,600.0,4.0,0.1333333333333333,221.0,0,0,
83,0.45,16,0.42533333333333334,600.0,6.0,0.2,231.0,0,0,
84,0.6,16,0.36572222222222217,600.0,4.0,0.1333333333333333,211.0,0,0,
85,0.15,17,0.42816666666666664,600.0,9.0,0.3,158.0,0,0,
86,0.25,17,0.4751111111111111,600.0,11.0,0.3666666666666666,277.0,0,0,
87,0.35,17,0.44350000000000006,600.0,9.0,0.3,261.0,0,0,
88,0.45,17,0.4784999999999999,600.0,10.0,0.3333333333333333,427.0,0,0,
89,0.6,17,0.4517777777777778,600.0,9.0,0.3,336.0,0,0,
90,0.15,18,0.43644444444444447,600.0,8.0,0.2666666666666666,234.0,0,0,
91,0.25,18,0.48883333333333334,600.0,7.0,0.2333333333333333,352.0,0,0,
92,0.35,18,0.48566666666666664,600.0,9.0,0.3,287.0,0,0,
93,0.45,18,0.5215555555555556,600.0,9.0,0.3,370.0,0,0,
94,0.6,18,0.46527777777777773,600.0,9.0,0.3,236.0,0,0,
95,0.15,19,0.35288888888888886,600.0,5.0,0.1666666666666666,106.0,0,0,
96,0.25,19,0.3586111111111111,600.0,7.0,0.2333333333333333,106.0,0,0,
97,0.35,19,0.39877777777777773,600.0,4.0,0.1333333333333333,223.0,0,0,
98,0.45,19,0.36844444444444446,600.0,4.0,0.1333333333333333,111.0,0,0,
99,0.6,19,0.46344444444444444,600.0,10.0,0.3333333333333333,422.0,0,0,
100,0.15,20,0.3698333333333333,600.0,8.0,0.2666666666666666,135.0,0,0,
101,0.25,20,0.4006111111111111,600.0,8.0,0.2666666666666666,145.0,0,0,
102,0.35,20,0.3992777777777778,600.0,8.0,0.2666666666666666,139.0,0,0,
103,0.45,20,0.3982222222222222,600.0,8.0,0.2666666666666666,150.0,0,0,
104,0.6,20,0.40605555555555556,600.0,8.0,0.2666666666666666,147.0,0,0,
105,0.15,21,0.5468888888888889,600.0,9.0,0.3,486.0,0,0,
106,0.25,21,0.47361111111111115,600.0,9.0,0.3,279.0,0,0,
107,0.35,21,0.44633333333333336,600.0,8.0,0.2666666666666666,261.0,0,0,
108,0.45,21,0.48827777777777776,600.0,9.0,0.3,299.0,0,0,
109,0.6,21,0.44605555555555554,600.0,6.0,0.2,277.0,0,0,
110,0.15,22,0.35444444444444445,600.0,6.0,0.2,154.0,0,0,
111,0.25,22,0.4244444444444444,600.0,8.0,0.2666666666666666,175.0,0,0,
112,0.35,22,0.3619444444444444,600.0,5.0,0.1666666666666666,171.0,0,0,
113,0.45,22,0.35433333333333333,600.0,7.0,0.2333333333333333,116.0,0,0,
114,0.6,22,0.35966666666666663,600.0,5.0,0.1666666666666666,172.0,0,0,
115,0.15,23,0.4573333333333333,600.0,9.0,0.3,220.0,0,0,
116,0.25,23,0.45011111111111113,600.0,6.0,0.2,326.0,0,0,
117,0.35,23,0.42177777777777775,600.0,6.0,0.2,235.0,0,0,
118,0.45,23,0.49122222222222217,600.0,8.0,0.2666666666666666,334.0,0,0,
119,0.6,23,0.4772222222222222,600.0,8.0,0.2666666666666666,301.0,0,0,
120,0.15,24,0.4865555555555556,600.0,8.0,0.2666666666666666,269.0,0,0,
121,0.25,24,0.5209444444444444,600.0,8.0,0.2666666666666666,330.0,0,0,
122,0.35,24,0.4926666666666666,600.0,7.0,0.2333333333333333,323.0,0,0,
123,0.45,24,0.4695555555555555,600.0,6.0,0.2,249.0,0,0,
124,0.6,24,0.47405555555555556,600.0,8.0,0.2666666666666666,249.0,0,0,
125,0.15,25,0.4301111111111111,600.0,8.0,0.2666666666666666,226.0,0,0,
126,0.25,25,0.41177777777777774,600.0,6.0,0.2,235.0,0,0,
127,0.35,25,0.389,600.0,7.0,0.2333333333333333,217.0,0,0,
128,0.45,25,0.3763333333333333,600.0,7.0,0.2333333333333333,223.0,0,0,
129,0.6,25,0.38899999999999996,600.0,6.0,0.2,225.0,0,0,
130,0.15,26,0.4238333333333333,600.0,7.0,0.2333333333333333,239.0,0,0,
131,0.25,26,0.4897777777777778,600.0,11.0,0.3666666666666666,276.0,0,0,
132,0.35,26,0.49788888888888894,600.0,10.0,0.3333333333333333,354.0,0,0,
133,0.45,26,0.5309999999999999,600.0,10.0,0.3333333333333333,479.0,0,0,
134,0.6,26,0.4323333333333333,600.0,7.0,0.2333333333333333,242.0,0,0,
135,0.15,27,0.39899999999999997,600.0,8.0,0.2666666666666666,194.0,0,0,
136,0.25,27,0.40144444444444444,600.0,7.0,0.2333333333333333,204.0,0,0,
137,0.35,27,0.39822222222222226,600.0,7.0,0.2333333333333333,192.0,0,0,
138,0.45,27,0.4024444444444444,600.0,8.0,0.2666666666666666,179.0,0,0,
139,0.6,27,0.41727777777777775,600.0,8.0,0.2666666666666666,256.0,0,0,
140,0.15,28,0.41672222222222216,600.0,8.0,0.2666666666666666,251.0,0,0,
141,0.25,28,0.4103333333333333,600.0,8.0,0.2666666666666666,238.0,0,0,
142,0.35,28,0.3733888888888889,600.0,5.0,0.1666666666666666,206.0,0,0,
143,0.45,28,0.42927777777777776,600.0,6.0,0.2,314.0,0,0,
144,0.6,28,0.43849999999999995,600.0,8.0,0.2666666666666666,249.0,0,0,
145,0.15,29,0.47300000000000003,600.0,9.0,0.3,343.0,0,0,
146,0.25,29,0.5285,600.0,11.0,0.3666666666666666,399.0,0,0,
147,0.35,29,0.5088333333333334,600.0,10.0,0.3333333333333333,349.0,0,0,
148,0.45,29,0.5365555555555556,600.0,12.0,0.4,351.0,0,0,
149,0.6,29,0.48161111111111105,600.0,9.0,0.3,324.0,0,0,
150,0.15,30,0.40127777777777773,600.0,9.0,0.3,133.0,0,0,
151,0.25,30,0.44855555555555554,600.0,10.0,0.3333333333333333,206.0,0,0,
