min_priority,replications,J_delta_mean,J_delta_std,runs_reaching_90_percent_nominal_service,time_to_90_percent_nominal_service_mean_s,time_to_90_percent_nominal_service_std_s,event_episode_cases,event_episode_cases_reaching_90_percent_nominal_service,runs_contributing_to_event_response_mean,mean_event_response_time_mean_s,mean_event_response_time_std_s,final_residual_deficit_mean,final_residual_deficit_std,final_normalized_deficit_mean,final_normalized_deficit_std
1,100,0.13525,0.03435581216337583,100,152.42,54.829797251737745,0,0,0,,,0.0,0.0,0.0,0.0
2,100,0.16568833333333333,0.04596160291155842,100,182.92,67.40510426375795,0,0,0,,,0.0,0.0,0.0,0.0
4,100,0.2984383333333333,0.06671474762378292,74,373.4864864864865,114.57966580019061,0,0,0,,,1.78,1.4112105269998347,0.08900000000000001,0.07056052634999174
6,100,0.47242111111111107,0.050195378454662126,98,258.0816326530612,95.41646894410091,0,0,0,,,10.06,1.3545285064359016,0.3353333333333333,0.045150950214530056
8,100,0.5942895833333334,0.04000115974705869,99,228.54545454545453,103.13546399376719,0,0,0,,,19.9,1.344648953474775,0.4975,0.03361622383686942
