priority_range_width,replications,J_delta_mean,J_delta_std,runs_reaching_90_percent_nominal_service,time_to_90_percent_nominal_service_mean_s,time_to_90_percent_nominal_service_std_s,event_episode_cases,event_episode_cases_reaching_90_percent_nominal_service,runs_contributing_to_event_response_mean,mean_event_response_time_mean_s,mean_event_response_time_std_s,final_residual_deficit_mean,final_residual_deficit_std,final_normalized_deficit_mean,final_normalized_deficit_std
0,100,0.2858791666666667,0.08225672509681622,88,333.82954545454544,123.36379446052666,0,0,0,,,1.01,1.3962069830057215,0.050499999999999996,0.06981034915028608
2,100,0.27151641900026197,0.08673969792644759,90,324.8888888888889,123.87257356613542,0,0,0,,,1.01,1.4177446878757827,0.04856025774154053,0.06604802612055742
4,100,0.2670160766888104,0.09540379460042284,94,288.6063829787234,118.50631470721784,0,0,0,,,1.11,1.5563165526721137,0.050147714481342816,0.06799089139232717
6,100,0.28092729683806106,0.10847666629950041,96,291.9583333333333,130.00298916941279,0,0,0,,,1.34,1.897473067109001,0.05753248620970548,0.07744580320741995
