point_layout,replications,J_delta_mean,J_delta_std,runs_reaching_90_percent_nominal_service,time_to_90_percent_nominal_service_mean_s,time_to_90_percent_nominal_service_std_s,event_episode_cases,event_episode_cases_reaching_90_percent_nominal_service,runs_contributing_to_event_response_mean,mean_event_response_time_mean_s,mean_event_response_time_std_s,final_residual_deficit_mean,final_residual_deficit_std,final_normalized_deficit_mean,final_normalized_deficit_std
central,100,0.21703416666666667,0.04683277517580811,97,249.53608247422682,84.96029242334208,0,0,0,,,0.56,1.1487366798339644,0.013999999999999999,0.02871841699584911
circle,100,0.30172958333333333,0.03233073339834585,77,442.54545454545456,92.31090849813577,0,0,0,,,3.32,1.6198266524040108,0.083,0.040495666310100265
clusters,100,0.16676458333333333,0.037955454489414765,100,184.92,55.456722593460924,0,0,0,,,0.06,0.3428932159955307,0.0015,0.008572330399888264
dispersed,100,0.28070833333333334,0.026665206057431782,88,388.85227272727275,78.2757489158587,0,0,0,,,2.62,1.324058651696107,0.0655,0.033101466292402675
edges,100,0.2118604166666667,0.040763145018852524,100,284.16,83.73692812202468,0,0,0,,,0.45,0.8804842561071295,0.01125,0.02201210640267824
random,100,0.25434208333333336,0.04424920393392943,96,335.4583333333333,82.86297080013823,0,0,0,,,1.26,1.5016489253315821,0.0315,0.03754122313328956
