RunId,point_layout,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
74,dispersed,12,0.25329166666666664,600.0,1.0,0.025,307.0,0,0,
75,circle,12,0.2964583333333333,600.0,4.0,0.1,552.0,0,0,
76,edges,12,0.16183333333333333,600.0,0.0,0.0,207.0,0,0,
77,central,12,0.20079166666666665,600.0,1.0,0.025,177.0,0,0,
78,random,13,0.21516666666666664,600.0,0.0,0.0,265.0,0,0,
79,clusters,13,0.16995833333333332,600.0,0.0,0.0,197.0,0,0,
80,dispersed,13,0.32787499999999997,600.0,5.0,0.125,,0,0,
81,circle,13,0.31633333333333336,600.0,1.0,0.025,461.0,0,0,
82,edges,13,0.19070833333333334,600.0,0.0,0.0,226.0,0,0,
83,central,13,0.17675,600.0,0.0,0.0,209.0,0,0,
84,random,14,0.324625,600.0,0.0,0.0,413.0,0,0,
85,clusters,14,0.2165,600.0,0.0,0.0,266.0,0,0,
86,dispersed,14,0.30025,600.0,3.0,0.075,396.0,0,0,
87,circle,14,0.2699583333333333,600.0,2.0,0.05,350.0,0,0,
88,edges,14,0.18825,600.0,0.0,0.0,240.0,0,0,
89,central,14,0.18729166666666666,600.0,0.0,0.0,224.0,0,0,
90,random,15,0.17400000000000002,600.0,0.0,0.0,210.0,0,0,
91,clusters,15,0.18516666666666665,600.0,0.0,0.0,202.0,0,0,
92,dispersed,15,0.253,600.0,2.0,0.05,309.0,0,0,
93,circle,15,0.318375,600.0,5.0,0.125,,0,0,
94,edges,15,0.19908333333333333,600.0,0.0,0.0,282.0,0,0,
95,central,15,0.16341666666666665,600.0,0.0,0.0,165.0,0,0,
96,random,16,0.2422083333333333,600.0,0.0,0.0,399.0,0,0,
97,clusters,16,0.21,600.0,0.0,0.0,353.0,0,0,
98,dispersed,16,0.30541666666666667,600.0,4.0,0.1,587.0,0,0,
99,circle,16,0.239375,600.0,1.0,0.025,320.0,0,0,
100,edges,16,0.28679166666666667,600.0,0.0,0.0,402.0,0,0,
101,central,16,0.24733333333333335,600.0,0.0,0.0,414.0,0,0,
102,random,17,0.28725,600.0,2.0,0.05,389.0,0,0,
103,clusters,17,0.26875,600.0,3.0,0.075,219.0,0,0,
104,dispersed,17,0.2697083333333333,600.0,2.0,0.05,366.0,0,0,
105,circle,17,0.2942916666666667,600.0,3.0,0.075,476.0,0,0,
106,edges,17,0.231625,600.0,0.0,0.0,312.0,0,0,
107,central,17,0.19429166666666667,600.0,0.0,0.0,199.0,0,0,
108,random,18,0.23791666666666667,600.0,1.0,0.025,260.0,0,0,
109,clusters,18,0.17458333333333334,600.0,0.0,0.0,278.0,0,0,
110,dispersed,18,0.2800416666666667,600.0,2.0,0.05,351.0,0,0,
111,circle,18,0.252625,600.0,2.0,0.05,302.0,0,0,
112,edges,18,0.19479166666666667,600.0,0.0,0.0,255.0,0,0,
113,central,18,0.31254166666666666,600.0,1.0,0.025,598.0,0,0,
114,random,19,0.31233333333333335,600.0,2.0,0.05,373.0,0,0,
115,clusters,19,0.10529166666666666,600.0,0.0,0.0,119.0,0,0,
116,dispersed,19,0.28054166666666663,600.0,3.0,0.075,391.0,0,0,
117,circle,19,0.28279166666666666,600.0,2.0,0.05,392.0,0,0,
118,edges,19,0.18333333333333332,600.0,0.0,0.0,193.0,0,0,
119,central,19,0.16754166666666667,600.0,0.0,0.0,209.0,0,0,
120,random,20,0.2505,600.0,1.0,0.025,352.0,0,0,
121,clusters,20,0.14583333333333334,600.0,0.0,0.0,200.0,0,0,
122,dispersed,20,0.2999583333333333,600.0,1.0,0.025,461.0,0,0,
123,circle,20,0.28670833333333334,600.0,4.0,0.1,342.0,0,0,
124,edges,20,0.18679166666666666,600.0,0.0,0.0,305.0,0,0,
125,central,20,0.20270833333333332,600.0,0.0,0.0,234.0,0,0,
126,random,21,0.33283333333333337,600.0,2.0,0.05,457.0,0,0,
127,clusters,21,0.15362499999999998,600.0,0.0,0.0,122.0,0,0,
128,dispersed,21,0.2497083333333333,600.0,2.0,0.05,289.0,0,0,
129,circle,21,0.278875,600.0,3.0,0.075,372.0,0,0,
130,edges,21,0.27566666666666667,600.0,0.0,0.0,293.0,0,0,
131,central,21,0.22179166666666664,600.0,2.0,0.05,203.0,0,0,
132,random,22,0.17595833333333333,600.0,0.0,0.0,201.0,0,0,
133,clusters,22,0.12583333333333332,600.0,0.0,0.0,128.0,0,0,
134,dispersed,22,0.26708333333333334,600.0,1.0,0.025,404.0,0,0,
135,circle,22,0.3396666666666667,600.0,5.0,0.125,,0,0,
136,edges,22,0.224375,600.0,1.0,0.025,303.0,0,0,
137,central,22,0.2209583333333333,600.0,0.0,0.0,299.0,0,0,
138,random,23,0.248625,600.0,2.0,0.05,335.0,0,0,
139,clusters,23,0.151375,600.0,0.0,0.0,146.0,0,0,
140,dispersed,23,0.22804166666666664,600.0,2.0,0.05,222.0,0,0,
