drone_type,Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
fixed_wing,0.0,0.0,100,19.97,0.171446607997766,0.9984999999999999,0.008572330399888245,0.0015000000000000002,0.008572330399888266,0.0,0.0,,,0.03,0.17144660799776532,10.0,0.0,0.0,0.0,0.0,0.0,19.97,0.171446607997766,0.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
fixed_wing,1.0,1.0,100,19.91,0.37859388972001823,0.9954999999999999,0.018929694486000914,0.0045000000000000005,0.018929694486000917,0.0,0.0,0.002999999999999999,0.013889898953170714,0.06,0.23868325657594203,9.97,0.17144660799776498,0.02,0.1407052941362897,0.01,0.09999999999999999,19.9,0.43808582711518096,19.65,1.0576799462440747,0.0,0.0,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
fixed_wing,2.0,2.0,100,19.77,0.5835281060112281,0.9884999999999999,0.029176405300561398,0.011500000000000002,0.02917640530056138,0.0,0.0,0.007000000000000001,0.021343747458109495,0.15,0.35887028128263665,9.92,0.2726599243442907,0.03,0.1714466079977653,0.05,0.21904291355759034,19.68,0.9415225151129657,19.51,1.1054959123041626,0.0,0.0,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
fixed_wing,3.0,3.0,100,19.65,0.7299508769967213,0.9825,0.03649754384983604,0.0175,0.036497543849836084,0.0,0.0,0.006000000000000002,0.019174899417644095,0.24,0.4739688435398098,9.89,0.3144660377352201,0.03,0.1714466079977653,0.08,0.27265992434429076,19.48,1.2591483413222384,19.44,1.0571545570898124,0.0,0.0,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
fixed_wing,4.0,4.0,100,19.53,0.8581751840181862,0.9765,0.042908759200909294,0.0235,0.042908759200909266,0.0,0.0,0.0059999999999999975,0.017809315460503163,0.29,0.5182526976156117,9.82,0.3861229196653693,0.09,0.2876234912646614,0.09,0.2876234912646613,19.35,1.3807844352271843,19.26,1.211226942843787,0.0,0.0,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
fixed_wing,5.0,5.0,100,19.38,0.9824726587811619,0.9690000000000001,0.049123632939058096,0.031,0.04912363293905808,0.0,0.0,0.007499999999999998,0.020566472667421554,0.36,0.541602560309064,9.74,0.4845074558223793,0.14,0.34873508801977704,0.12,0.32659863237109044,19.1,1.678744119329035,19.0,1.4839205511145823,0.0,0.0,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
fixed_wing,6.0,6.0,100,19.21,1.1572782419508836,0.9605,0.057863912097544205,0.0395,0.057863912097544205,0.0,0.0,0.008499999999999997,0.024674650632549665,0.44,0.6562827673397122,9.65,0.5388914922357193,0.13,0.33799766898963113,0.22,0.4623173950192375,18.8,2.0250950844368028,18.84,1.593674364416389,0.0,0.0,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
fixed_wing,7.0,7.0,100,19.07,1.241170838565364,0.9534999999999999,0.06205854192826824,0.04650000000000001,0.062058541928268235,0.0,0.0,0.007000000000000002,0.022495790852081782,0.52,0.6739001514626733,9.59,0.6046119049072352,0.14,0.348735088019777,0.27,0.48938221207451915,18.57,2.170765354021991,18.76,1.6460543580012634,0.0,0.0,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
fixed_wing,8.0,8.0,100,18.95,1.3209653647804303,0.9475,0.06604826823902148,0.0525,0.0660482682390215,0.0,0.0,0.006,0.019174899417644088,0.58,0.713222874483754,9.53,0.6428314889862841,0.13,0.3379976689896311,0.34,0.5359782899266791,18.27,2.4571273364387833,18.79,1.5718161662885586,0.0,0.0,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
fixed_wing,9.0,9.0,100,18.82,1.3808210118138646,0.941,0.06904105059069325,0.059000000000000004,0.06904105059069326,0.0,0.0,0.006499999999999999,0.02090744394040582,0.65,0.7436600722307896,9.47,0.6735253251633257,0.18,0.3861229196653691,0.35,0.5388914922357194,18.07,2.575153226783629,18.68,1.5033968272555385,0.0,0.0,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
