priority_range_width,replications,J_delta_mean,J_delta_std,runs_reaching_90_percent_nominal_service,time_to_90_percent_nominal_service_mean_s,time_to_90_percent_nominal_service_std_s,event_episode_cases,event_episode_cases_reaching_90_percent_nominal_service,runs_contributing_to_event_response_mean,mean_event_response_time_mean_s,mean_event_response_time_std_s,final_residual_deficit_mean,final_residual_deficit_std,final_normalized_deficit_mean,final_normalized_deficit_std
0,100,0.2659316666666667,0.05765113157068533,79,398.8354430379747,127.72008961705431,0,0,0,,,1.71,1.1485168301295845,0.0855,0.05742584150647923
2,100,0.2740378052059496,0.0752941217769298,78,363.8333333333333,118.8617462374448,0,0,0,,,2.14,1.8641758273165958,0.10111716155847261,0.08386607168849772
4,100,0.2789996333868576,0.09069896077967322,79,336.72151898734177,125.09421441343474,0,0,0,,,2.42,2.2436442217828105,0.10918745896558184,0.09249709891296043
6,100,0.2973886281314117,0.10911669498782064,76,323.69736842105266,127.19193053406516,0,0,0,,,3.06,2.9977095633604383,0.13127270163315394,0.11637779944944673
