priority_range_width,Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
0,13.0,13.0,100,18.54,1.3289321299677437,0.927,0.06644660649838723,0.07300000000000001,0.06644660649838723,0.0,0.0,0.022499999999999996,0.035086473263361846,1.06,0.8387099280647293,4.98,0.1407052941362897,0.01,0.1,0.01,0.09999999999999999,18.69,1.2767936482462707,12.75,2.4469110603725954,1.31,1.2767936482462698,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.5,0.5945883900105631
0,14.0,14.0,100,17.93,1.5843617075030634,0.8965000000000001,0.0792180853751531,0.1035,0.07921808537515314,0.0,0.0,0.030500000000000003,0.036855573979159964,1.25,0.8087276451565162,4.95,0.21904291355759026,0.04,0.19694638556693236,0.01,0.09999999999999999,18.15,1.5134080878613154,12.48,2.536521120341677,1.85,1.5134080878613145,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.5,0.5945883900105631
0,15.0,15.0,100,17.31,1.8129444770228562,0.8654999999999999,0.0906472238511428,0.1345,0.0906472238511428,0.0,0.0,0.030999999999999993,0.03537676004830221,1.44,0.8080404030302525,4.87,0.3379976689896312,0.11,0.31446603773522014,0.02,0.1407052941362897,17.55,1.7943514064131838,12.23,2.639463520635903,2.45,1.7943514064131831,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.5,0.5945883900105631
0,16.0,16.0,100,16.51,1.946221410266,0.8255,0.09731107051330001,0.1745,0.09731107051330001,0.0,0.0,0.04,0.046601686361302117,1.62,0.7216703408122579,4.74,0.4845074558223793,0.18,0.43531017619043727,0.08,0.2726599243442907,16.67,2.188376087191116,12.09,2.648021941378168,3.33,2.188376087191116,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.5,0.5945883900105631
0,17.0,17.0,100,15.74,2.09675073300658,0.787,0.10483753665032905,0.213,0.10483753665032905,0.0,0.0,0.0385,0.040735039392928475,1.81,0.6771150924952483,4.55,0.6092717958449424,0.27,0.48938221207451904,0.18,0.41145221993924064,15.83,2.412321066792919,11.98,2.628438104404756,4.17,2.4123210667929196,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.5,0.5945883900105631
0,18.0,18.0,100,15.16,1.9421949469919877,0.758,0.09710974734959942,0.242,0.09710974734959943,0.0,0.0,0.029000000000000005,0.038389287226222035,1.98,0.5501147722305434,4.43,0.6705191716841209,0.42,0.5717243101956456,0.15,0.35887028128263665,15.32,2.2105349231497433,11.9,2.6265928308342534,4.68,2.2105349231497438,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.5,0.5945883900105631
0,19.0,19.0,100,14.58,1.8100728262596602,0.7290000000000001,0.09050364131298308,0.271,0.09050364131298304,0.0,0.0,0.029000000000000005,0.04504767396095973,1.99,0.5411361037930132,4.3,0.627645914460847,0.54,0.5932277740625366,0.16,0.3684529491774707,14.72,2.0893186748920147,11.86,2.643918120952884,5.28,2.0893186748920143,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.5,0.5945883900105631
0,20.0,20.0,100,14.18,1.8223084483171563,0.7090000000000001,0.09111542241585777,0.29100000000000004,0.09111542241585781,0.0,0.0,0.020000000000000004,0.036927447293799834,2.03,0.5213618530523516,4.15,0.6256309946079568,0.7,0.6435381994422819,0.15,0.35887028128263676,14.34,1.9808170949475272,11.96,2.7114422715446462,5.66,1.9808170949475272,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.5,0.5945883900105631
0,21.0,21.0,100,13.71,1.8602432772368915,0.6855,0.0930121638618446,0.3145,0.09301216386184458,0.0,0.0,0.023499999999999997,0.038569758394709476,2.07,0.4975698519562431,3.99,0.6275654418770873,0.9,0.6590473688161075,0.11,0.3144660377352201,13.96,2.0046410797411744,12.04,2.639712258576834,6.04,2.004641079741174,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.5,0.5945883900105631
0,22.0,22.0,100,13.41,1.8699916274862536,0.6705,0.09349958137431268,0.3295,0.09349958137431268,0.0,0.0,0.015000000000000003,0.02797906865548393,2.13,0.5441145155760927,3.88,0.6240953048172605,1.0,0.635641726163728,0.12,0.32659863237109027,13.67,1.9850705404355409,12.13,2.584550055599425,6.33,1.985070540435541,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.5,0.5945883900105631
