RunId,priority_range_width,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
78,0,78,0.2915833333333333,600.0,2.0,0.1,577.0,0,0,
79,0,79,0.2518333333333333,600.0,2.0,0.1,519.0,0,0,
80,0,80,0.1785,600.0,1.0,0.05,170.0,0,0,
81,0,81,0.29083333333333333,600.0,2.0,0.1,476.0,0,0,
82,0,82,0.25125,600.0,1.0,0.05,576.0,0,0,
83,0,83,0.2371666666666667,600.0,2.0,0.1,564.0,0,0,
84,0,84,0.23275,600.0,1.0,0.05,359.0,0,0,
85,0,85,0.23016666666666666,600.0,0.0,0.0,325.0,0,0,
86,0,86,0.30383333333333334,600.0,3.0,0.15,,0,0,
87,0,87,0.26975,600.0,2.0,0.1,493.0,0,0,
88,0,88,0.23858333333333334,600.0,2.0,0.1,561.0,0,0,
89,0,89,0.18575,600.0,0.0,0.0,199.0,0,0,
90,0,90,0.30833333333333335,600.0,3.0,0.15,,0,0,
91,0,91,0.41525,600.0,0.0,0.0,439.0,0,0,
92,0,92,0.23133333333333336,600.0,2.0,0.1,529.0,0,0,
93,0,93,0.3348333333333333,600.0,4.0,0.2,,0,0,
94,0,94,0.3,600.0,2.0,0.1,500.0,0,0,
95,0,95,0.27666666666666667,600.0,3.0,0.15,,0,0,
96,0,96,0.24866666666666665,600.0,2.0,0.1,277.0,0,0,
97,0,97,0.2996666666666667,600.0,3.0,0.15,,0,0,
98,0,98,0.28633333333333333,600.0,2.0,0.1,423.0,0,0,
99,0,99,0.334,600.0,1.0,0.05,462.0,0,0,
100,2,0,0.3093939393939394,600.0,3.0,0.1363636363636363,262.0,0,0,
101,2,1,0.1744444444444444,600.0,0.0,0.0,297.0,0,0,
102,2,2,0.12624999999999995,600.0,1.0,0.0416666666666666,73.0,0,0,
103,2,3,0.14464912280701753,600.0,0.0,0.0,297.0,0,0,
104,2,4,0.36724637681159417,600.0,4.0,0.1739130434782608,472.0,0,0,
105,2,5,0.3049074074074074,600.0,0.0,0.0,511.0,0,0,
106,2,6,0.3678260869565217,600.0,5.0,0.217391304347826,370.0,0,0,
107,2,7,0.15603174603174602,600.0,0.0,0.0,151.0,0,0,
108,2,8,0.23999999999999996,600.0,1.0,0.0555555555555555,572.0,0,0,
109,2,9,0.2964035087719298,600.0,2.0,0.1052631578947368,,0,0,
110,2,10,0.3441666666666667,600.0,6.0,0.25,378.0,0,0,
111,2,11,0.27791666666666665,600.0,2.0,0.1,447.0,0,0,
112,2,12,0.16552631578947363,600.0,0.0,0.0,401.0,0,0,
113,2,13,0.2527272727272727,600.0,1.0,0.0454545454545454,279.0,0,0,
114,2,14,0.42638888888888893,600.0,5.0,0.2083333333333333,455.0,0,0,
115,2,15,0.2353174603174603,600.0,1.0,0.0476190476190476,185.0,0,0,
116,2,16,0.22851851851851848,600.0,1.0,0.0555555555555555,434.0,0,0,
117,2,17,0.43965277777777784,600.0,8.0,0.3333333333333333,,0,0,
118,2,18,0.3628985507246376,600.0,5.0,0.217391304347826,343.0,0,0,
119,2,19,0.3553968253968254,600.0,4.0,0.1904761904761904,,0,0,
120,2,20,0.2347222222222222,600.0,0.0,0.0,516.0,0,0,
121,2,21,0.3916666666666666,600.0,5.0,0.217391304347826,551.0,0,0,
122,2,22,0.21622807017543855,600.0,1.0,0.0526315789473684,373.0,0,0,
123,2,23,0.1857843137254902,600.0,0.0,0.0,283.0,0,0,
124,2,24,0.16333333333333333,600.0,1.0,0.05,166.0,0,0,
125,2,25,0.17105263157894735,600.0,0.0,0.0,358.0,0,0,
126,2,26,0.21916666666666668,600.0,2.0,0.1,282.0,0,0,
127,2,27,0.1334313725490196,600.0,0.0,0.0,191.0,0,0,
128,2,28,0.3029824561403508,600.0,2.0,0.1052631578947368,,0,0,
129,2,29,0.2627536231884058,600.0,3.0,0.1304347826086956,290.0,0,0,
130,2,30,0.2744444444444444,600.0,3.0,0.1428571428571428,578.0,0,0,
131,2,31,0.3720588235294117,600.0,2.0,0.1176470588235294,,0,0,
132,2,32,0.30016666666666664,600.0,2.0,0.1,539.0,0,0,
133,2,33,0.19849999999999998,600.0,2.0,0.1,382.0,0,0,
134,2,34,0.2094736842105263,600.0,0.0,0.0,375.0,0,0,
135,2,35,0.22477272727272724,600.0,2.0,0.0909090909090909,227.0,0,0,
136,2,36,0.367,600.0,4.0,0.2,,0,0,
137,2,37,0.24941666666666668,600.0,2.0,0.1,597.0,0,0,
138,2,38,0.22833333333333328,600.0,0.0,0.0,503.0,0,0,
139,2,39,0.29148148148148145,600.0,2.0,0.1111111111111111,,0,0,
140,2,40,0.2368518518518518,600.0,2.0,0.1111111111111111,,0,0,
141,2,41,0.33939393939393936,600.0,2.0,0.0909090909090909,390.0,0,0,
142,2,42,0.3007575757575757,600.0,4.0,0.1818181818181818,252.0,0,0,
143,2,43,0.19280701754385962,600.0,0.0,0.0,257.0,0,0,
144,2,44,0.2758333333333333,600.0,2.0,0.1,461.0,0,0,
145,2,45,0.2808730158730159,600.0,2.0,0.0952380952380952,272.0,0,0,
146,2,46,0.3459523809523809,600.0,3.0,0.1428571428571428,440.0,0,0,
147,2,47,0.2978571428571428,600.0,3.0,0.1428571428571428,456.0,0,0,
148,2,48,0.3828333333333333,600.0,6.0,0.3,,0,0,
149,2,49,0.23833333333333334,600.0,1.0,0.05,381.0,0,0,
150,2,50,0.20333333333333328,600.0,0.0,0.0,435.0,0,0,
151,2,51,0.23269841269841265,600.0,2.0,0.0952380952380952,325.0,0,0,
