coverage_radius,Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
8.0,16.0,16.0,100,29.96,0.24287836253956183,0.9986666666666666,0.00809594541798541,0.002,0.012143918126978109,0.33333333333333326,0.0,0.0009999999999999998,0.0057148869332588415,0.03,0.17144660799776532,14.99,0.10000000000000003,0.0,0.0,0.01,0.1,19.95,0.3295236844080533,7.97,4.567020556957979,0.05,0.3295236844080538,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,17.0,17.0,100,29.84,0.4653661532230905,0.9946666666666667,0.015512205107436344,0.008,0.023268307661154508,0.33333333333333326,0.0,0.003999999999999996,0.012783266278429389,0.14,0.4025173313289777,14.98,0.14070529413628946,0.0,0.0,0.02,0.14070529413628968,19.83,0.5328596381218922,7.73,4.55018037160522,0.17,0.5328596381218922,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,18.0,18.0,100,29.73,0.6171783299088616,0.991,0.02057261099696204,0.013500000000000002,0.030858916495443055,0.33333333333333326,0.0,0.0036666666666666636,0.01150318357339533,0.22,0.48367281703584925,14.95,0.21904291355759037,0.02,0.14070529413628968,0.03,0.17144660799776532,19.71,0.7288430017583493,7.42,4.588479204937231,0.29,0.7288430017583492,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,19.0,19.0,100,29.49,0.8703302519588451,0.983,0.029011008398628184,0.025500000000000002,0.04351651259794227,0.33333333333333326,0.0,0.008,0.016494055658141573,0.39,0.6339709708805221,14.88,0.3561863092100632,0.08,0.30748244591432294,0.04,0.19694638556693236,19.45,1.028630549848101,7.22,4.60035132606547,0.55,1.0286305498481019,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,20.0,20.0,100,29.19,1.160764290187176,0.973,0.038692143006239195,0.0405,0.058038214509358754,0.33333333333333326,0.0,0.010000000000000016,0.01804098090857755,0.52,0.7450849046595397,14.71,0.4983812179284434,0.15,0.3859920970562726,0.14,0.3765875486765086,19.03,1.4937918668322385,6.98,4.554895246552955,0.97,1.4937918668322372,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,21.0,21.0,100,29.01,1.2909553270991434,0.9670000000000001,0.04303184423663811,0.0495,0.06454776635495718,0.33333333333333326,0.0,0.005999999999999992,0.01287076398884562,0.63,0.7869516689688948,14.64,0.5777000724747868,0.18,0.4353101761904371,0.18,0.41145221993924064,18.83,1.6209175603261678,6.79,4.555593742141011,1.17,1.6209175603261683,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,22.0,22.0,100,28.69,1.4543213211152846,0.9563333333333333,0.04847737737050947,0.0655,0.07271606605576421,0.33333333333333326,0.0,0.010666666666666668,0.021124397732799702,0.86,0.932250454057765,14.55,0.6571287406727709,0.21,0.4560480215720686,0.24,0.4739688435398097,18.37,2.033333333333332,6.53,4.55151212524614,1.63,2.033333333333333,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,23.0,23.0,100,28.51,1.5666666666666667,0.9503333333333334,0.05222222222222223,0.0745,0.07833333333333335,0.33333333333333326,0.0,0.0060000000000000045,0.013715073997974695,0.91,0.943826298006196,14.42,0.7410066862659944,0.23,0.44619604333847374,0.35,0.5924610544247623,18.01,2.3591429705627336,6.34,4.257423700509095,1.99,2.359142970562733,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,24.0,24.0,100,28.23,1.6808787985317482,0.941,0.05602929328439162,0.0885,0.08404393992658744,0.33333333333333326,0.0,0.009333333333333338,0.01777777777777778,1.05,1.018763362061469,14.28,0.7795362516758078,0.33,0.5514901759246617,0.39,0.6012613005301035,17.69,2.4108131827290555,6.33,4.16103862325771,2.31,2.4108131827290564,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
8.0,25.0,25.0,100,28.02,1.7637196689687022,0.934,0.058790655632290086,0.099,0.08818598344843515,0.33333333333333326,0.0,0.0069999999999999975,0.015201600719068946,1.15,1.0480862791225007,14.17,0.8047209190618551,0.46,0.6578200914591106,0.37,0.5972157622389639,17.58,2.3405947616757237,6.34,4.05323165741694,2.42,2.3405947616757237,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
