coverage_radius,replications,J_delta_mean,J_delta_std,runs_reaching_90_percent_nominal_service,time_to_90_percent_nominal_service_mean_s,time_to_90_percent_nominal_service_std_s,event_episode_cases,event_episode_cases_reaching_90_percent_nominal_service,runs_contributing_to_event_response_mean,mean_event_response_time_mean_s,mean_event_response_time_std_s,final_residual_deficit_mean,final_residual_deficit_std,final_normalized_deficit_mean,final_normalized_deficit_std
8.0,100,0.4365033333333333,0.06929387934498717,97,235.95876288659792,101.4863411915791,0,0,0,,,8.17,2.3357346950491973,0.2723333333333333,0.07785782316830657
10.0,100,0.4218138888888889,0.07928606031300588,96,233.36458333333334,108.31320275179235,0,0,0,,,7.12,2.9687939257781726,0.2373333333333333,0.09895979752593909
12.0,100,0.41678666666666664,0.07798093146103165,96,232.47916666666666,97.88940904668274,0,0,0,,,6.69,3.1162493643818205,0.22299999999999998,0.10387497881272736
15.0,100,0.4099322222222222,0.07908675040919037,97,241.94845360824743,87.13224756249603,0,0,0,,,5.53,3.358856828136501,0.1843333333333333,0.1119618942712167
