RunId,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
28,28,0.147375,1200.0,0.0,0.0,324.0,1,1,0.0
29,29,0.12670833333333334,1200.0,0.0,0.0,337.0,1,1,0.0
30,30,0.13945833333333332,1200.0,0.0,0.0,419.0,1,1,0.0
31,31,0.15908333333333333,1200.0,0.0,0.0,404.0,1,1,0.0
32,32,0.12445833333333332,1200.0,0.0,0.0,281.0,1,1,0.0
33,33,0.15329166666666666,1200.0,0.0,0.0,579.0,1,1,0.0
34,34,0.19645833333333335,1200.0,0.0,0.0,600.0,1,1,0.0
35,35,0.17870833333333333,1200.0,0.0,0.0,600.0,1,1,0.0
36,36,0.12474999999999999,1200.0,0.0,0.0,391.0,1,1,0.0
37,37,0.1175,1200.0,0.0,0.0,411.0,1,1,0.0
38,38,0.12025000000000001,1200.0,0.0,0.0,316.0,1,1,0.0
39,39,0.11466666666666667,1200.0,0.0,0.0,325.0,1,1,0.0
40,40,0.155375,1200.0,0.0,0.0,586.0,1,1,0.0
41,41,0.12454166666666666,1200.0,0.0,0.0,255.0,1,1,0.0
42,42,0.15679166666666666,1200.0,0.0,0.0,600.0,1,1,0.0
43,43,0.12645833333333334,1200.0,0.0,0.0,255.0,1,1,0.0
44,44,0.11604166666666667,1200.0,0.0,0.0,250.0,1,1,0.0
45,45,0.17608333333333334,1200.0,0.0,0.0,531.0,1,1,0.0
46,46,0.16670833333333335,1200.0,0.0,0.0,429.0,1,1,0.0
47,47,0.13016666666666665,1200.0,0.0,0.0,295.0,1,1,0.0
48,48,0.16479166666666667,1200.0,0.0,0.0,425.0,1,1,0.0
49,49,0.12866666666666668,1200.0,0.0,0.0,350.0,1,1,0.0
50,50,0.092375,1200.0,0.0,0.0,244.0,1,1,0.0
51,51,0.15933333333333335,1200.0,0.0,0.0,482.0,1,1,0.0
52,52,0.13758333333333334,1200.0,0.0,0.0,317.0,1,1,0.0
53,53,0.15216666666666667,1200.0,0.0,0.0,448.0,1,1,0.0
54,54,0.15783333333333333,1200.0,0.0,0.0,603.0,1,1,3.0
55,55,0.13341666666666666,1200.0,0.0,0.0,498.0,1,1,0.0
56,56,0.16587500000000002,1200.0,0.0,0.0,600.0,1,1,0.0
57,57,0.11008333333333332,1200.0,0.0,0.0,166.0,1,1,0.0
58,58,0.08383333333333333,1200.0,0.0,0.0,170.0,1,1,0.0
59,59,0.09791666666666667,1200.0,0.0,0.0,171.0,1,1,0.0
60,60,0.16137500000000002,1200.0,0.0,0.0,466.0,1,1,0.0
61,61,0.187875,1200.0,0.0,0.0,600.0,1,1,0.0
62,62,0.11825000000000001,1200.0,0.0,0.0,298.0,1,1,0.0
63,63,0.08770833333333333,1200.0,0.0,0.0,243.0,1,1,0.0
64,64,0.14829166666666665,1200.0,0.0,0.0,338.0,1,1,0.0
65,65,0.18945833333333334,1200.0,0.0,0.0,458.0,1,1,0.0
66,66,0.128125,1200.0,0.0,0.0,436.0,1,1,0.0
67,67,0.12941666666666668,1200.0,0.0,0.0,236.0,1,1,0.0
68,68,0.16570833333333332,1200.0,0.0,0.0,484.0,1,1,0.0
69,69,0.15904166666666666,1200.0,0.0,0.0,447.0,1,1,0.0
70,70,0.11279166666666667,1200.0,0.0,0.0,293.0,1,1,0.0
71,71,0.17695833333333333,1200.0,0.0,0.0,568.0,1,1,0.0
72,72,0.16379166666666667,1200.0,0.0,0.0,600.0,1,1,0.0
73,73,0.14625,1200.0,0.0,0.0,600.0,1,1,0.0
74,74,0.13995833333333332,1200.0,0.0,0.0,522.0,1,1,0.0
75,75,0.15120833333333333,1200.0,0.0,0.0,600.0,1,1,0.0
76,76,0.14091666666666666,1200.0,0.0,0.0,341.0,1,1,0.0
77,77,0.13879166666666667,1200.0,0.0,0.0,294.0,1,1,0.0
78,78,0.09929166666666667,1200.0,0.0,0.0,201.0,1,1,0.0
79,79,0.12275000000000001,1200.0,0.0,0.0,320.0,1,1,0.0
80,80,0.12858333333333336,1200.0,0.0,0.0,365.0,1,1,0.0
81,81,0.13904166666666667,1200.0,0.0,0.0,325.0,1,1,0.0
82,82,0.14804166666666668,1200.0,0.0,0.0,378.0,1,1,0.0
83,83,0.16866666666666666,1200.0,0.0,0.0,578.0,1,1,0.0
84,84,0.140625,1200.0,0.0,0.0,320.0,1,1,0.0
85,85,0.0815,1200.0,0.0,0.0,227.0,1,1,0.0
86,86,0.15070833333333333,1200.0,0.0,0.0,454.0,1,1,0.0
87,87,0.219375,1200.0,0.0,0.0,600.0,1,1,0.0
88,88,0.169375,1200.0,0.0,0.0,414.0,1,1,0.0
89,89,0.1595,1200.0,0.0,0.0,384.0,1,1,0.0
