RunId,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
72,72,0.22987500000000002,1200.0,1.0,0.05,835.0,1,1,235.0
73,73,0.20441666666666666,1200.0,0.0,0.0,814.0,1,1,214.0
74,74,0.18145833333333333,1200.0,0.0,0.0,522.0,1,1,200.0
75,75,0.19883333333333333,1200.0,0.0,0.0,773.0,1,1,173.0
76,76,0.18541666666666667,1200.0,1.0,0.05,341.0,1,1,109.0
77,77,0.19895833333333332,1200.0,1.0,0.05,294.0,1,1,186.0
78,78,0.12175,1200.0,0.0,0.0,201.0,1,1,73.0
79,79,0.13545833333333335,1200.0,0.0,0.0,320.0,1,1,64.0
80,80,0.1495,1200.0,0.0,0.0,365.0,1,1,88.0
81,81,0.16629166666666667,1200.0,0.0,0.0,325.0,1,1,95.0
82,82,0.20275,1200.0,1.0,0.05,378.0,1,1,122.0
83,83,0.2725416666666667,1200.0,3.0,0.15,578.0,1,0,
84,84,0.17529166666666665,1200.0,0.0,0.0,320.0,1,1,96.0
85,85,0.12675,1200.0,1.0,0.05,227.0,1,1,136.0
86,86,0.19529166666666667,1200.0,0.0,0.0,454.0,1,1,163.0
87,87,0.23179166666666665,1200.0,0.0,0.0,790.0,1,1,190.0
88,88,0.217125,1200.0,1.0,0.05,414.0,1,1,136.0
89,89,0.23329166666666665,1200.0,1.0,0.05,384.0,1,1,420.0
90,90,0.20995833333333336,1200.0,0.0,0.0,589.0,1,1,141.0
91,91,0.174625,1200.0,0.0,0.0,386.0,1,1,39.0
92,92,0.144375,1200.0,0.0,0.0,302.0,1,1,59.0
93,93,0.20358333333333334,1200.0,1.0,0.05,492.0,1,1,129.0
94,94,0.16870833333333332,1200.0,0.0,0.0,475.0,1,1,45.0
95,95,0.18420833333333334,1200.0,1.0,0.05,346.0,1,1,154.0
96,96,0.17645833333333333,1200.0,0.0,0.0,271.0,1,1,196.0
97,97,0.11424999999999999,1200.0,0.0,0.0,168.0,1,1,145.0
98,98,0.10945833333333332,1200.0,0.0,0.0,171.0,1,1,158.0
99,99,0.175,1200.0,1.0,0.05,298.0,1,1,105.0
