RunId,match,drone_sensing_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
60,0.0,10.0,6,0.23705555555555555,600.0,0.0,0.0,112.0,0,0,
61,0.025,10.0,6,0.1946111111111111,600.0,0.0,0.0,113.0,0,0,
62,0.05,10.0,6,0.21555555555555553,600.0,0.0,0.0,98.0,0,0,
63,0.1,10.0,6,0.2768333333333333,600.0,1.0,0.0333333333333333,140.0,0,0,
64,0.2,10.0,6,0.29,600.0,1.0,0.0333333333333333,174.0,0,0,
65,0.0,25.0,6,0.4896666666666666,600.0,11.0,0.3666666666666666,220.0,0,0,
66,0.025,25.0,6,0.2637777777777778,600.0,2.0,0.0666666666666666,96.0,0,0,
67,0.05,25.0,6,0.40855555555555556,600.0,9.0,0.3,143.0,0,0,
68,0.1,25.0,6,0.3782777777777777,600.0,7.0,0.2333333333333333,107.0,0,0,
69,0.2,25.0,6,0.3942777777777778,600.0,9.0,0.3,112.0,0,0,
70,0.0,10.0,7,0.1731111111111111,600.0,0.0,0.0,109.0,0,0,
71,0.025,10.0,7,0.17594444444444443,600.0,0.0,0.0,88.0,0,0,
72,0.05,10.0,7,0.20188888888888887,600.0,0.0,0.0,122.0,0,0,
73,0.1,10.0,7,0.19566666666666663,600.0,0.0,0.0,88.0,0,0,
74,0.2,10.0,7,0.41588888888888886,600.0,4.0,0.1333333333333333,217.0,0,0,
75,0.0,25.0,7,0.4746666666666667,600.0,9.0,0.3,286.0,0,0,
76,0.025,25.0,7,0.2187222222222222,600.0,3.0,0.1,81.0,0,0,
77,0.05,25.0,7,0.3712222222222222,600.0,8.0,0.2666666666666666,83.0,0,0,
78,0.1,25.0,7,0.2498333333333333,600.0,4.0,0.1333333333333333,89.0,0,0,
79,0.2,25.0,7,0.19561111111111104,600.0,2.0,0.0666666666666666,94.0,0,0,
80,0.0,10.0,8,0.4451111111111111,600.0,8.0,0.2666666666666666,247.0,0,0,
81,0.025,10.0,8,0.47877777777777775,600.0,9.0,0.3,214.0,0,0,
82,0.05,10.0,8,0.37738888888888883,600.0,5.0,0.1666666666666666,205.0,0,0,
83,0.1,10.0,8,0.4223333333333333,600.0,4.0,0.1333333333333333,238.0,0,0,
