match,drone_sensing_radius,replications,J_delta_mean,J_delta_std,runs_reaching_90_percent_nominal_service,time_to_90_percent_nominal_service_mean_s,time_to_90_percent_nominal_service_std_s,event_episode_cases,event_episode_cases_reaching_90_percent_nominal_service,runs_contributing_to_event_response_mean,mean_event_response_time_mean_s,mean_event_response_time_std_s,final_residual_deficit_mean,final_residual_deficit_std,final_normalized_deficit_mean,final_normalized_deficit_std
0.0,10.0,100,0.2707511111111111,0.08773618631343931,100,145.9,68.44248488602484,0,0,0,,,1.46,2.284864560670076,0.04866666666666666,0.07616215202233587
0.0,25.0,100,0.34891444444444447,0.10318225424930912,95,157.98947368421054,87.9844636595844,0,0,0,,,5.64,3.5803052744962773,0.18799999999999997,0.11934350914987589
0.025,10.0,100,0.24617444444444442,0.07288759589166863,100,122.76,51.63334604925798,0,0,0,,,1.22,1.7556834117870577,0.04066666666666665,0.058522780392901916
0.025,25.0,100,0.30760666666666664,0.09675475097193086,98,133.6734693877551,91.04850587950803,0,0,0,,,4.5,3.170253152432002,0.14999999999999997,0.10567510508106678
0.05,10.0,100,0.2521911111111111,0.0816182599768036,100,126.7,58.22778329521695,0,0,0,,,1.43,2.031345277485744,0.04766666666666665,0.06771150924952479
0.05,25.0,100,0.29509166666666664,0.08969874459589755,98,113.12244897959184,51.76478628464826,0,0,0,,,4.38,3.14876919998076,0.14599999999999996,0.104958973332692
0.1,10.0,100,0.2576633333333333,0.07321021098959685,100,130.19,59.67228600591498,0,0,0,,,1.38,1.8465364793843009,0.04599999999999998,0.0615512159794767
0.1,25.0,100,0.2755072222222222,0.09424431150785695,99,115.54545454545455,62.982711059411535,0,0,0,,,3.61,3.1039076056226964,0.12033333333333329,0.10346358685408989
0.2,10.0,100,0.2863633333333333,0.1065986424451247,99,137.65656565656565,82.9216696544939,0,0,0,,,1.94,2.5537455162204714,0.06466666666666664,0.08512485054068238
0.2,25.0,100,0.27016888888888885,0.11785581211985356,97,116.64948453608247,87.79272953443541,0,0,0,,,3.52,3.718585589693854,0.1173333333333333,0.12395285298979512
