RunId,priority_range_width,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
79,0,77,0.2255,600.0,0.0,0.0,211.0,0,0,
80,0,81,0.2574166666666666,600.0,0.0,0.0,555.0,0,0,
81,0,82,0.265,600.0,2.0,0.1,277.0,0,0,
82,0,80,0.38233333333333336,600.0,5.0,0.25,,0,0,
83,0,83,0.3369166666666667,600.0,3.0,0.15,,0,0,
84,0,85,0.16008333333333333,600.0,0.0,0.0,193.0,0,0,
85,0,84,0.22483333333333333,600.0,0.0,0.0,272.0,0,0,
86,0,86,0.355,600.0,1.0,0.05,540.0,0,0,
87,0,88,0.21441666666666667,600.0,2.0,0.1,421.0,0,0,
88,0,87,0.2744166666666667,600.0,1.0,0.05,372.0,0,0,
89,0,90,0.32641666666666663,600.0,2.0,0.1,419.0,0,0,
90,0,91,0.15283333333333335,600.0,0.0,0.0,197.0,0,0,
91,0,89,0.24691666666666667,600.0,1.0,0.05,292.0,0,0,
92,0,94,0.29275,600.0,2.0,0.1,370.0,0,0,
93,0,92,0.24449999999999997,600.0,0.0,0.0,327.0,0,0,
94,0,96,0.294,600.0,1.0,0.05,270.0,0,0,
95,0,93,0.35491666666666666,600.0,2.0,0.1,475.0,0,0,
96,0,95,0.19441666666666668,600.0,0.0,0.0,210.0,0,0,
97,0,99,0.24925000000000003,600.0,1.0,0.05,285.0,0,0,
98,0,97,0.25866666666666666,600.0,1.0,0.05,393.0,0,0,
99,0,98,0.1535,600.0,0.0,0.0,281.0,0,0,
100,2,2,0.249537037037037,600.0,0.0,0.0,466.0,0,0,
101,2,3,0.29730158730158723,600.0,2.0,0.0952380952380952,557.0,0,0,
102,2,7,0.2705,600.0,1.0,0.05,257.0,0,0,
103,2,4,0.45055555555555554,600.0,5.0,0.238095238095238,,0,0,
104,2,0,0.28425,600.0,3.0,0.15,,0,0,
