priority_range_width,Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
0,14.0,14.0,100,19.77,0.6942039987778752,0.9884999999999999,0.03471019993889378,0.011500000000000002,0.03471019993889375,0.0,0.0,0.004,0.015374122295716146,0.13,0.3379976689896312,4.99,0.09999999999999998,0.01,0.1,0.0,0.0,19.77,0.6942039987778752,18.16,2.584804077916182,0.23,0.6942039987778752,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,15.0,15.0,100,19.66,0.8314524227597937,0.983,0.0415726211379897,0.017,0.0415726211379897,0.0,0.0,0.005500000000000002,0.017254775360093014,0.2,0.4020151261036849,4.98,0.1407052941362897,0.02,0.14070529413628968,0.0,0.0,19.66,0.8314524227597937,18.01,2.6647531013039645,0.34,0.8314524227597939,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,16.0,16.0,100,19.56,1.008248806875394,0.978,0.05041244034376973,0.022000000000000002,0.05041244034376973,0.0,0.0,0.004999999999999999,0.01946247360403807,0.23,0.44619604333847374,4.97,0.17144660799776537,0.02,0.1407052941362897,0.01,0.1,19.55,1.0480862791225005,17.84,2.7914733085457297,0.45,1.0480862791225007,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,17.0,17.0,100,19.45,1.1492202011394819,0.9725,0.05746101005697408,0.0275,0.05746101005697409,0.0,0.0,0.005499999999999997,0.015723301886760993,0.27,0.4893822120745191,4.95,0.21904291355759034,0.03,0.17144660799776532,0.02,0.14070529413628968,19.41,1.303414319734477,17.65,2.962305272123811,0.59,1.3034143197344767,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,18.0,18.0,100,19.27,1.3473130761825651,0.9634999999999999,0.06736565380912823,0.0365,0.06736565380912825,0.0,0.0,0.009000000000000001,0.02787055214321519,0.34,0.5359782899266791,4.93,0.25643239997624273,0.06,0.238683256575942,0.01,0.1,19.27,1.3769751653753983,17.53,3.0796005250583067,0.73,1.3769751653753983,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,19.0,19.0,100,19.1,1.5275252316519472,0.955,0.07637626158259733,0.045,0.07637626158259733,0.0,0.0,0.008499999999999997,0.02467465063254966,0.39,0.584220105194208,4.91,0.32082595426382365,0.07,0.2931886695621029,0.02,0.1407052941362897,19.1,1.547236049844817,17.42,3.091794287980997,0.9,1.5472360498448177,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,20.0,20.0,100,18.94,1.6866678644144757,0.9470000000000001,0.08433339322072375,0.053,0.08433339322072375,0.0,0.0,0.007999999999999998,0.019745860069872615,0.42,0.6224746962525846,4.89,0.3450955072018603,0.08,0.27265992434429076,0.03,0.1714466079977653,18.92,1.7734290245314324,17.26,3.2086373330985127,1.08,1.773429024531432,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,21.0,21.0,100,18.75,1.8443196988361732,0.9375,0.09221598494180865,0.0625,0.09221598494180863,0.0,0.0,0.0095,0.027242828729258577,0.48,0.6432242017658957,4.84,0.3949172013974523,0.13,0.3666666666666667,0.03,0.1714466079977653,18.73,1.9008504210569341,17.09,3.2507807919907115,1.27,1.9008504210569337,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,22.0,22.0,100,18.64,1.946351157495179,0.932,0.09731755787475899,0.068,0.09731755787475904,0.0,0.0,0.0055000000000000005,0.018660983983496776,0.52,0.6887259501016602,4.81,0.41911402464790604,0.16,0.3949172013974524,0.03,0.17144660799776532,18.63,1.9931954953863116,17.05,3.2764078630183526,1.37,1.993195495386311,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
0,23.0,23.0,100,18.53,2.0471956674949525,0.9265000000000001,0.1023597833747476,0.07350000000000001,0.10235978337474759,0.0,0.0,0.0055,0.018660983983496776,0.53,0.7028800779936815,4.79,0.4333333333333334,0.17,0.40339468604243256,0.04,0.19694638556693236,18.47,2.185604878945116,16.99,3.286012597035925,1.53,2.1856048789451146,5.0,0.0,20.0,0.0,4.0,0.0,1.0,0.0,0.63,0.7608474807008885
