n_points,replications,J_delta_mean,J_delta_std,runs_reaching_90_percent_nominal_service,time_to_90_percent_nominal_service_mean_s,time_to_90_percent_nominal_service_std_s,event_episode_cases,event_episode_cases_reaching_90_percent_nominal_service,runs_contributing_to_event_response_mean,mean_event_response_time_mean_s,mean_event_response_time_std_s,final_residual_deficit_mean,final_residual_deficit_std,final_normalized_deficit_mean,final_normalized_deficit_std
5,100,0.121695,0.027337655228241987,100,123.44,33.040018587809975,0,0,0,,,0.0,0.0,0.0,0.0
10,100,0.15168166666666666,0.026046590120442966,100,169.31,41.573761878950485,0,0,0,,,0.0,0.0,0.0,0.0
20,100,0.25434208333333336,0.04424920393392943,96,335.4583333333333,82.86297080013823,0,0,0,,,1.26,1.5016489253315821,0.0315,0.03754122313328956
30,100,0.3825461111111111,0.04660700287493996,100,198.81,41.365748530821385,0,0,0,,,11.64,3.4334068835899467,0.19399999999999995,0.05722344805983245
40,100,0.48366166666666666,0.044598111981473045,100,155.4,35.85689852339675,0,0,0,,,26.98,4.426686746942408,0.33725,0.05533358433678009
