RunId,n_points,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
74,40,14,0.5076041666666666,600.0,29.0,0.3625,135.0,0,0,
75,5,15,0.12166666666666667,600.0,0.0,0.0,98.0,0,0,
76,10,15,0.1575,600.0,0.0,0.0,134.0,0,0,
77,20,15,0.17400000000000002,600.0,0.0,0.0,210.0,0,0,
78,30,15,0.44530555555555557,600.0,16.0,0.2666666666666666,269.0,0,0,
79,40,15,0.4564375,600.0,27.0,0.3375,134.0,0,0,
80,5,16,0.10066666666666667,600.0,0.0,0.0,104.0,0,0,
81,10,16,0.11791666666666667,600.0,0.0,0.0,114.0,0,0,
82,20,16,0.2422083333333333,600.0,0.0,0.0,399.0,0,0,
83,30,16,0.31947222222222216,600.0,8.0,0.1333333333333333,165.0,0,0,
84,40,16,0.46493749999999995,600.0,24.0,0.3,157.0,0,0,
85,5,17,0.12966666666666665,600.0,0.0,0.0,114.0,0,0,
86,10,17,0.16474999999999998,600.0,0.0,0.0,225.0,0,0,
87,20,17,0.28725,600.0,2.0,0.05,389.0,0,0,
88,30,17,0.3730833333333333,600.0,13.0,0.2166666666666666,192.0,0,0,
89,40,17,0.4668958333333333,600.0,27.0,0.3375,118.0,0,0,
90,5,18,0.12816666666666668,600.0,0.0,0.0,131.0,0,0,
91,10,18,0.19666666666666666,600.0,0.0,0.0,205.0,0,0,
92,20,18,0.23791666666666667,600.0,1.0,0.025,260.0,0,0,
93,30,18,0.3545555555555555,600.0,9.0,0.15,169.0,0,0,
94,40,18,0.393875,600.0,14.0,0.175,138.0,0,0,
95,5,19,0.10633333333333334,600.0,0.0,0.0,94.0,0,0,
96,10,19,0.19241666666666668,600.0,0.0,0.0,295.0,0,0,
97,20,19,0.31233333333333335,600.0,2.0,0.05,373.0,0,0,
98,30,19,0.26844444444444443,600.0,5.0,0.0833333333333333,118.0,0,0,
99,40,19,0.3721666666666667,600.0,18.0,0.225,100.0,0,0,
100,5,20,0.08933333333333333,600.0,0.0,0.0,119.0,0,0,
101,10,20,0.09533333333333334,600.0,0.0,0.0,105.0,0,0,
102,20,20,0.2505,600.0,1.0,0.025,352.0,0,0,
103,30,20,0.3770833333333333,600.0,9.0,0.15,242.0,0,0,
104,40,20,0.5217708333333333,600.0,31.0,0.3875,180.0,0,0,
105,5,21,0.14716666666666667,600.0,0.0,0.0,123.0,0,0,
106,10,21,0.19583333333333333,600.0,0.0,0.0,165.0,0,0,
107,20,21,0.33283333333333337,600.0,2.0,0.05,457.0,0,0,
108,30,21,0.39055555555555554,600.0,15.0,0.25,130.0,0,0,
109,40,21,0.5023333333333333,600.0,26.0,0.325,169.0,0,0,
110,5,22,0.09799999999999999,600.0,0.0,0.0,154.0,0,0,
111,10,22,0.1425,600.0,0.0,0.0,222.0,0,0,
112,20,22,0.17595833333333333,600.0,0.0,0.0,201.0,0,0,
113,30,22,0.3048333333333333,600.0,6.0,0.1,176.0,0,0,
114,40,22,0.5037708333333333,600.0,27.0,0.3375,182.0,0,0,
115,5,23,0.12483333333333334,600.0,0.0,0.0,123.0,0,0,
116,10,23,0.12675,600.0,0.0,0.0,135.0,0,0,
117,20,23,0.248625,600.0,2.0,0.05,335.0,0,0,
118,30,23,0.39936111111111106,600.0,13.0,0.2166666666666666,234.0,0,0,
119,40,23,0.4638541666666667,600.0,22.0,0.275,139.0,0,0,
120,5,24,0.13466666666666666,600.0,0.0,0.0,108.0,0,0,
121,10,24,0.15458333333333332,600.0,0.0,0.0,175.0,0,0,
122,20,24,0.242,600.0,1.0,0.025,274.0,0,0,
123,30,24,0.3689722222222222,600.0,10.0,0.1666666666666666,199.0,0,0,
124,40,24,0.4664583333333333,600.0,23.0,0.2875,136.0,0,0,
125,5,25,0.074,600.0,0.0,0.0,119.0,0,0,
126,10,25,0.10358333333333333,600.0,0.0,0.0,121.0,0,0,
127,20,25,0.2303333333333333,600.0,1.0,0.025,318.0,0,0,
128,30,25,0.35933333333333334,600.0,12.0,0.2,177.0,0,0,
129,40,25,0.3797291666666667,600.0,18.0,0.225,100.0,0,0,
130,5,26,0.1205,600.0,0.0,0.0,108.0,0,0,
131,10,26,0.17291666666666666,600.0,0.0,0.0,204.0,0,0,
132,20,26,0.25775000000000003,600.0,0.0,0.0,283.0,0,0,
133,30,26,0.38316666666666666,600.0,11.0,0.1833333333333333,202.0,0,0,
134,40,26,0.5005624999999999,600.0,26.0,0.325,208.0,0,0,
135,5,27,0.09166666666666666,600.0,0.0,0.0,112.0,0,0,
136,10,27,0.161,600.0,0.0,0.0,163.0,0,0,
