RunId,n_points,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
0,5,0,0.12100000000000001,600.0,0.0,0.0,100.0,0,0,
1,10,0,0.173,600.0,0.0,0.0,188.0,0,0,
2,20,0,0.294,600.0,1.0,0.05,337.0,0,0,
3,30,0,0.43694444444444436,600.0,7.0,0.2333333333333333,226.0,0,0,
4,40,0,0.5263749999999999,600.0,17.0,0.425,175.0,0,0,
5,5,1,0.106,600.0,0.0,0.0,106.0,0,0,
6,10,1,0.12916666666666668,600.0,0.0,0.0,176.0,0,0,
7,20,1,0.3278333333333333,600.0,0.0,0.0,496.0,0,0,
8,30,1,0.43711111111111106,600.0,9.0,0.3,245.0,0,0,
9,40,1,0.4995416666666667,600.0,15.0,0.375,139.0,0,0,
10,5,2,0.11,600.0,0.0,0.0,150.0,0,0,
11,10,2,0.16733333333333333,600.0,0.0,0.0,198.0,0,0,
12,20,2,0.3690833333333333,600.0,2.0,0.1,550.0,0,0,
13,30,2,0.39661111111111114,600.0,7.0,0.2333333333333333,178.0,0,0,
14,40,2,0.5292916666666666,600.0,16.0,0.4,140.0,0,0,
15,5,3,0.11099999999999999,600.0,0.0,0.0,111.0,0,0,
16,10,3,0.1751666666666667,600.0,0.0,0.0,234.0,0,0,
17,20,3,0.24508333333333335,600.0,0.0,0.0,362.0,0,0,
18,30,3,0.4497222222222222,600.0,9.0,0.3,220.0,0,0,
19,40,3,0.5550833333333334,600.0,18.0,0.45,233.0,0,0,
20,5,4,0.19466666666666665,600.0,0.0,0.0,144.0,0,0,
21,10,4,0.17400000000000002,600.0,0.0,0.0,126.0,0,0,
22,20,4,0.3015,600.0,0.0,0.0,340.0,0,0,
23,30,4,0.5648333333333333,600.0,13.0,0.4333333333333333,,0,0,
24,40,4,0.6097916666666666,600.0,19.0,0.475,292.0,0,0,
25,5,5,0.10433333333333333,600.0,0.0,0.0,162.0,0,0,
26,10,5,0.15383333333333332,600.0,0.0,0.0,198.0,0,0,
