point_sensing_radius,drone_sensing_radius,replications,J_delta_mean,J_delta_std,runs_reaching_90_percent_nominal_service,time_to_90_percent_nominal_service_mean_s,time_to_90_percent_nominal_service_std_s,event_episode_cases,event_episode_cases_reaching_90_percent_nominal_service,runs_contributing_to_event_response_mean,mean_event_response_time_mean_s,mean_event_response_time_std_s,final_residual_deficit_mean,final_residual_deficit_std,final_normalized_deficit_mean,final_normalized_deficit_std,mean_excess_service_units_mean,mean_excess_service_units_std,final_excess_service_units_mean,final_excess_service_units_std
10.0,10.0,100,0.47242111111111107,0.05019537845466213,98,258.0816326530612,95.41646894410088,0,0,0,,,10.06,1.3545285064359016,0.3353333333333333,0.04515095021453004,0.0005166666666666667,0.001290885774595394,0.0,0.0
10.0,25.0,100,0.4344783333333333,0.05178258956016301,100,197.39,104.05786026450997,0,0,0,,,9.59,1.47774739848777,0.31966666666666665,0.049258246616259,0.0021833333333333336,0.0023294219260451385,0.0,0.0
25.0,10.0,100,0.5216833333333334,0.07919357055600319,28,129.85714285714286,78.2222447691165,0,0,0,,,13.96,2.6964997888208915,0.4653333333333333,0.0898833262940297,0.0046166666666666665,0.006149352342417932,0.0,0.0
25.0,25.0,100,0.41248555555555555,0.0546691414607762,100,163.68,85.29993190992818,0,0,0,,,9.23,1.9167259542872532,0.30766666666666664,0.06389086514290848,0.004966666666666667,0.005907916657910178,0.0,0.0
