radius_profile,Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,excess_service_units_mean,excess_service_units_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
rd10_rp10_nominal,22.0,22.0,100,18.38,1.5490629295144724,0.919,0.07745314647572361,0.081,0.07745314647572363,0.0,0.0,0.008,0.01842264745887353,0.95,0.8453676505795953,9.33,0.7792122414154679,0.49,0.6434597143880914,0.18,0.43531017619043716,0.23,0.6333333333333335,18.19,1.846071449857723,15.4,3.113995776646092,1.81,1.8460714498577235,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
rd10_rp10_nominal,23.0,23.0,100,18.22,1.5927867707165624,0.9109999999999999,0.07963933853582812,0.08900000000000001,0.07963933853582812,0.0,0.0,0.007999999999999998,0.018422647458873526,1.03,0.8698658900466594,9.25,0.7961396760860395,0.69,0.7874649262672023,0.06,0.23868325657594203,0.1,0.4380858271151806,18.15,1.701900304502189,15.37,3.0868080339379445,1.85,1.7019003045021897,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
rd10_rp10_nominal,24.0,24.0,100,18.07,1.590724376001085,0.9035,0.07953621880005421,0.0965,0.07953621880005425,0.0,0.0,0.007499999999999998,0.02056647266742155,1.11,0.8633385983225444,9.18,0.8087900927567134,0.74,0.7865022940753945,0.08,0.27265992434429076,0.09,0.32082595426382343,18.03,1.641968515550955,15.42,2.944537829660714,1.97,1.641968515550955,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
rd10_rp10_nominal,25.0,25.0,100,17.93,1.615924540692455,0.8965000000000001,0.0807962270346227,0.1035,0.08079622703462273,0.0,0.0,0.006999999999999998,0.018829377433825432,1.19,0.8954994092232512,9.12,0.8075402232218604,0.77,0.8147007878585695,0.11,0.3450955072018601,0.12,0.3834979883528818,17.87,1.6856794332004978,15.45,2.811861599824155,2.13,1.6856794332004978,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
rd10_rp10_nominal,26.0,26.0,100,17.76,1.6399063782097223,0.888,0.08199531891048611,0.11200000000000002,0.08199531891048614,0.0,0.0,0.008499999999999997,0.02016973430212162,1.29,0.9352253550061956,9.05,0.808727645156516,0.84,0.7877855422677295,0.11,0.31446603773522014,0.16,0.506921785850339,17.65,1.811160685942313,15.26,2.918488608436866,2.35,1.8111606859423133,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
rd10_rp10_nominal,27.0,27.0,100,17.48,1.8666666666666667,0.8740000000000001,0.09333333333333332,0.126,0.09333333333333332,0.0,0.0,0.014000000000000004,0.03104249287084341,1.45,1.1043989178267832,8.93,0.8558178792384759,0.95,0.8572330399888264,0.12,0.3265986323710904,0.19,0.5448565745851718,17.39,1.9586379518079975,15.19,2.92566145503798,2.61,1.958637951807997,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
rd10_rp10_nominal,28.0,28.0,100,17.37,1.8944629579355456,0.8684999999999999,0.09472314789677731,0.1315,0.09472314789677731,0.0,0.0,0.005500000000000001,0.015723301886761014,1.5,1.087114613009218,8.87,0.8950481054731703,1.0,0.8761716542303611,0.13,0.3379976689896311,0.16,0.46536615322309005,17.31,1.936856768430268,15.15,2.868762447432338,2.69,1.9368567684302678,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
rd10_rp10_nominal,29.0,29.0,100,17.23,1.9635825843739212,0.8615,0.09817912921869601,0.13849999999999998,0.09817912921869602,0.0,0.0,0.007000000000000002,0.02012586656644889,1.57,1.0941072648834334,8.8,0.9534625892455925,1.07,0.9347932305266143,0.13,0.33799766898963113,0.16,0.46536615322309005,17.19,1.9420649220909585,15.08,2.8627880738111844,2.81,1.9420649220909585,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
rd10_rp10_nominal,30.0,30.0,100,17.11,2.014568154340986,0.8554999999999999,0.1007284077170493,0.1445,0.10072840771704933,0.0,0.0,0.005999999999999998,0.01632993161855452,1.62,1.1080969216989947,8.73,0.9729160583347655,1.14,0.9849370589540278,0.13,0.33799766898963113,0.2,0.5685352436149612,17.03,1.9871048937048736,15.1,2.73953472419141,2.97,1.987104893704874,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
rd10_rp10_nominal,31.0,31.0,100,17.0,2.0150945537631877,0.85,0.10075472768815938,0.15,0.10075472768815939,0.0,0.0,0.0055000000000000005,0.01725477536009301,1.68,1.1180791609277987,8.68,0.9627401969735587,1.22,0.9906634854551477,0.1,0.30151134457776363,0.11,0.34509550720186016,17.01,1.930588438060198,15.0,2.6892979069495504,2.99,1.9305884380601979,10.0,0.0,20.0,0.0,2.0,0.0,1.0,0.0,3.13,1.5219272736443836
