RunId,radius_profile,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,mean_excess_service_units,final_excess_service_units,J_delta_dynamic,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
37,rd10_rp10_nominal,36,0.21177777777777776,1800.0,0.0,0.0,0.17277777777777778,0.0,0.20504166666666665,391.0,4,3,77.66666666666667
38,rd10_rp10_nominal,37,0.23257407407407407,1800.0,1.0,0.05,0.3388888888888889,0.0,0.2311111111111111,411.0,4,3,129.33333333333334
39,rd10_rp10_nominal,38,0.20149999999999998,1800.0,2.0,0.1,0.4761111111111111,0.0,0.18179166666666668,316.0,4,4,92.5
40,rd10_rp10_nominal,39,0.20559259259259258,1800.0,1.0,0.05,0.5561111111111111,0.0,0.19355555555555556,325.0,4,3,32.0
41,rd10_rp10_nominal,40,0.23375,1800.0,1.0,0.05,0.15222222222222223,0.0,0.19504166666666667,586.0,4,3,110.0
42,rd10_rp10_nominal,41,0.2336574074074074,1800.0,2.0,0.1,0.0033333333333333335,0.0,0.2257361111111111,255.0,4,4,128.5
43,rd10_rp10_nominal,42,0.24894444444444447,1800.0,1.0,0.05,0.002777777777777778,0.0,0.22145833333333334,1090.0,4,3,88.33333333333333
44,rd10_rp10_nominal,43,0.23522222222222222,1800.0,0.0,0.0,0.006666666666666667,0.0,0.22616666666666665,255.0,4,3,40.333333333333336
45,rd10_rp10_nominal,44,0.22498148148148148,1800.0,1.0,0.05,0.002777777777777778,0.0,0.2212222222222222,250.0,4,3,112.0
46,rd10_rp10_nominal,45,0.31922222222222224,1800.0,3.0,0.15,0.2594444444444444,0.0,0.30245833333333333,531.0,4,1,71.0
47,rd10_rp10_nominal,46,0.25869444444444445,1800.0,1.0,0.05,0.415,0.0,0.22112499999999996,429.0,4,3,84.33333333333333
48,rd10_rp10_nominal,47,0.2126111111111111,1800.0,0.0,0.0,0.28944444444444445,0.0,0.18875,295.0,4,4,114.25
49,rd10_rp10_nominal,48,0.2436296296296296,1800.0,1.0,0.05,0.005,0.0,0.20044444444444445,425.0,4,4,99.5
50,rd10_rp10_nominal,49,0.24205555555555555,1800.0,1.0,0.05,0.27666666666666667,0.0,0.23416666666666666,350.0,4,4,182.5
51,rd10_rp10_nominal,50,0.21474074074074076,1800.0,2.0,0.1,0.125,0.0,0.22952777777777778,244.0,4,3,71.33333333333333
