point_layout,replications,J_delta_mean,J_delta_std,runs_reaching_90_percent_nominal_service,time_to_90_percent_nominal_service_mean_s,time_to_90_percent_nominal_service_std_s,event_episode_cases,event_episode_cases_reaching_90_percent_nominal_service,runs_contributing_to_event_response_mean,mean_event_response_time_mean_s,mean_event_response_time_std_s,final_residual_deficit_mean,final_residual_deficit_std,final_normalized_deficit_mean,final_normalized_deficit_std
central,100,0.07005583333333333,0.04588885075786564,100,91.79,84.34624347224235,0,0,0,,,0.03,0.1714466079977653,0.0015000000000000002,0.008572330399888264
circle,100,0.16004666666666664,0.03462387956186745,99,205.8989898989899,104.12311148783473,0,0,0,,,0.68,0.679869268479038,0.034,0.0339934634239519
clusters,100,0.21286083333333333,0.09243997662374571,95,273.2105263157895,120.85730065685094,0,0,0,,,0.37,0.8245598764789549,0.018500000000000003,0.04122799382394776
dispersed,100,0.23706666666666668,0.043570928216347636,94,326.78723404255317,105.52815170853656,0,0,0,,,1.3,0.7587869106393283,0.065,0.03793934553196641
edges,100,0.25756833333333334,0.058516716773716095,87,308.6896551724138,109.86316122370482,0,0,0,,,1.13,1.079234670842016,0.0565,0.05396173354210081
random,100,0.28589916666666665,0.06697514520369564,80,373.4125,97.17825116763527,0,0,0,,,1.59,1.2479882801832505,0.0795,0.06239941400916254
