RunId,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
83,83,0.126625,1200.0,0.0,0.0,242.0,1,1,135.0
84,84,0.079,1200.0,0.0,0.0,101.0,1,1,24.0
85,85,0.09675,1200.0,0.0,0.0,129.0,1,1,82.0
86,86,0.1915,1200.0,2.0,0.1,202.0,1,1,523.0
87,87,0.09579166666666666,1200.0,0.0,0.0,168.0,1,1,101.0
88,88,0.13516666666666666,1200.0,0.0,0.0,105.0,1,1,410.0
89,89,0.10583333333333333,1200.0,0.0,0.0,126.0,1,1,157.0
90,90,0.12462500000000001,1200.0,0.0,0.0,113.0,1,1,187.0
91,91,0.115125,1200.0,0.0,0.0,180.0,1,1,109.0
92,92,0.13629166666666667,1200.0,1.0,0.05,135.0,1,1,544.0
93,93,0.18895833333333334,1200.0,1.0,0.05,160.0,1,1,343.0
94,94,0.11833333333333333,1200.0,0.0,0.0,106.0,1,1,227.0
95,95,0.11745833333333332,1200.0,2.0,0.1,119.0,1,1,105.0
96,96,0.20179166666666667,1200.0,2.0,0.1,237.0,1,1,280.0
97,97,0.11858333333333335,1200.0,1.0,0.05,120.0,1,1,159.0
98,98,0.07770833333333334,1200.0,0.0,0.0,113.0,1,1,141.0
99,99,0.12708333333333333,1200.0,1.0,0.05,111.0,1,1,145.0
