RunId,initial_fleet_load,drone_sensing_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
65,0.25,15.0,16,0.11366666666666667,600.0,0.0,0.0,160.0,0,0,
66,0.25,20.0,16,0.09433333333333334,600.0,0.0,0.0,101.0,0,0,
67,0.25,25.0,16,0.09433333333333334,600.0,0.0,0.0,107.0,0,0,
68,0.25,10.0,17,0.16433333333333336,600.0,0.0,0.0,218.0,0,0,
69,0.25,15.0,17,0.128,600.0,0.0,0.0,101.0,0,0,
70,0.25,20.0,17,0.12633333333333333,600.0,0.0,0.0,123.0,0,0,
71,0.25,25.0,17,0.14133333333333334,600.0,0.0,0.0,150.0,0,0,
72,0.25,10.0,18,0.139,600.0,0.0,0.0,137.0,0,0,
73,0.25,15.0,18,0.19066666666666668,600.0,0.0,0.0,193.0,0,0,
74,0.25,20.0,18,0.13766666666666666,600.0,0.0,0.0,171.0,0,0,
75,0.25,25.0,18,0.12633333333333333,600.0,0.0,0.0,136.0,0,0,
76,0.25,10.0,19,0.09866666666666667,600.0,0.0,0.0,109.0,0,0,
77,0.25,15.0,19,0.197,600.0,0.0,0.0,272.0,0,0,
78,0.25,20.0,19,0.17433333333333334,600.0,0.0,0.0,298.0,0,0,
79,0.25,25.0,19,0.094,600.0,0.0,0.0,98.0,0,0,
80,0.25,10.0,20,0.13066666666666668,600.0,0.0,0.0,125.0,0,0,
81,0.25,15.0,20,0.15600000000000003,600.0,0.0,0.0,251.0,0,0,
82,0.25,20.0,20,0.14766666666666667,600.0,0.0,0.0,198.0,0,0,
83,0.25,25.0,20,0.15166666666666667,600.0,0.0,0.0,199.0,0,0,
84,0.25,10.0,21,0.146,600.0,0.0,0.0,122.0,0,0,
85,0.25,15.0,21,0.21333333333333335,600.0,0.0,0.0,259.0,0,0,
86,0.25,20.0,21,0.16766666666666669,600.0,0.0,0.0,158.0,0,0,
