cohere,replications,J_delta_mean,J_delta_std,runs_reaching_90_percent_nominal_service,time_to_90_percent_nominal_service_mean_s,time_to_90_percent_nominal_service_std_s,event_episode_cases,event_episode_cases_reaching_90_percent_nominal_service,runs_contributing_to_event_response_mean,mean_event_response_time_mean_s,mean_event_response_time_std_s,final_residual_deficit_mean,final_residual_deficit_std,final_normalized_deficit_mean,final_normalized_deficit_std
0.15,100,0.4293944444444444,0.05158881847401701,99,181.94949494949495,82.0030330122716,0,0,0,,,9.35,1.7773831632742865,0.31166666666666665,0.05924610544247621
0.25,100,0.4293044444444444,0.05253774555088487,99,181.76767676767676,79.34783001582954,0,0,0,,,9.3,1.7203476275439091,0.30999999999999994,0.05734492091813033
0.35,100,0.4335238888888889,0.05224485340450064,100,200.71,102.0534911235527,0,0,0,,,9.36,1.755338178588992,0.31199999999999994,0.058511272619633084
0.45,100,0.42919999999999997,0.05406947307578558,99,187.31313131313132,94.27106449658515,0,0,0,,,9.27,1.9219886586659156,0.30899999999999994,0.06406628862219718
0.6,100,0.4325805555555555,0.05342588967373265,100,197.45,98.41782451272829,0,0,0,,,9.36,1.7145839086489703,0.31199999999999994,0.05715279695496567
