RunId,cohere,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
63,0.45,12,0.4347222222222222,600.0,10.0,0.3333333333333333,212.0,0,0,
64,0.6,12,0.4345,600.0,10.0,0.3333333333333333,215.0,0,0,
65,0.15,13,0.443,600.0,10.0,0.3333333333333333,154.0,0,0,
66,0.25,13,0.492,600.0,11.0,0.3666666666666666,298.0,0,0,
67,0.35,13,0.43133333333333335,600.0,9.0,0.3,169.0,0,0,
68,0.45,13,0.4772777777777778,600.0,11.0,0.3666666666666666,173.0,0,0,
69,0.6,13,0.4832222222222222,600.0,10.0,0.3333333333333333,339.0,0,0,
70,0.15,14,0.4656666666666666,600.0,10.0,0.3333333333333333,209.0,0,0,
71,0.25,14,0.4822777777777777,600.0,10.0,0.3333333333333333,204.0,0,0,
72,0.35,14,0.4841666666666666,600.0,11.0,0.3666666666666666,204.0,0,0,
73,0.45,14,0.4845,600.0,11.0,0.3666666666666666,204.0,0,0,
74,0.6,14,0.47561111111111104,600.0,10.0,0.3333333333333333,204.0,0,0,
75,0.15,15,0.4898888888888889,600.0,11.0,0.3666666666666666,257.0,0,0,
76,0.25,15,0.49177777777777776,600.0,11.0,0.3666666666666666,256.0,0,0,
77,0.35,15,0.46794444444444444,600.0,10.0,0.3333333333333333,258.0,0,0,
78,0.45,15,0.47144444444444444,600.0,10.0,0.3333333333333333,310.0,0,0,
79,0.6,15,0.4858888888888889,600.0,11.0,0.3666666666666666,248.0,0,0,
80,0.15,16,0.4246111111111111,600.0,10.0,0.3333333333333333,147.0,0,0,
81,0.25,16,0.43894444444444447,600.0,10.0,0.3333333333333333,221.0,0,0,
82,0.35,16,0.42538888888888887,600.0,10.0,0.3333333333333333,216.0,0,0,
83,0.45,16,0.4220555555555555,600.0,10.0,0.3333333333333333,209.0,0,0,
84,0.6,16,0.4282222222222222,600.0,10.0,0.3333333333333333,201.0,0,0,
