cohere,Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
0.15,14.0,14.0,100,30.0,0.0,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,15.22,4.589359674532192,0.0,0.0,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,15.0,15.0,100,30.0,0.0,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,14.89,4.631676180652556,0.0,0.0,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,16.0,16.0,100,30.0,0.0,1.0,0.0,0.0,0.0,0.33333333333333326,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,14.65,4.799779035318061,0.0,0.0,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,17.0,17.0,100,29.98,0.14070529413629007,0.9993333333333334,0.0046901764712096216,0.001,0.007035264706814485,0.33333333333333326,0.0,0.0006666666666666643,0.004690176471209637,0.02,0.1407052941362897,5.0,0.0,0.0,0.0,0.0,0.0,19.98,0.14070529413629007,14.43,4.810037904888551,0.02,0.1407052941362897,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,18.0,18.0,100,29.94,0.2777979790634136,0.998,0.009259932635447131,0.0030000000000000005,0.013889898953170715,0.33333333333333326,0.0,0.001333333333333332,0.00656487951889774,0.05,0.2190429135575903,5.0,0.0,0.0,0.0,0.0,0.0,19.94,0.2777979790634136,14.23,4.853104806474538,0.06,0.27779797906341425,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,19.0,19.0,100,29.91,0.3509007169147892,0.997,0.011696690563826311,0.0045000000000000005,0.017545035845739472,0.33333333333333326,0.0,0.0009999999999999998,0.005714886933258841,0.07,0.2564323999762428,5.0,0.0,0.0,0.0,0.0,0.0,19.91,0.3509007169147892,13.98,4.921566638969566,0.09,0.3509007169147893,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,20.0,20.0,100,29.81,0.6307763374436202,0.9936666666666666,0.021025877914787338,0.009500000000000001,0.03153881687218101,0.33333333333333326,0.0,0.0033333333333333327,0.012079051255657976,0.11,0.3144660377352202,5.0,0.0,0.0,0.0,0.0,0.0,19.81,0.6307763374436202,13.73,5.038949305262962,0.19,0.6307763374436202,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,21.0,21.0,100,29.61,1.0239061667867022,0.987,0.03413020555955673,0.0195,0.05119530833933512,0.33333333333333326,0.0,0.0066666666666666645,0.016412198797244364,0.18,0.3861229196653691,4.99,0.09999999999999996,0.0,0.0,0.01,0.1,19.6,1.0824588545146516,13.41,5.170028231953083,0.4,1.0824588545146514,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,22.0,22.0,100,29.4,1.4839205511145812,0.98,0.04946401837048603,0.03,0.07419602755572904,0.33333333333333326,0.0,0.007000000000000003,0.022866911092135355,0.21,0.4560480215720687,4.96,0.19694638556693234,0.03,0.1714466079977653,0.01,0.1,19.39,1.5235193176035253,13.24,5.179836587259009,0.61,1.523519317603525,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,23.0,23.0,100,29.27,1.6071494308026535,0.9756666666666667,0.05357164769342176,0.0365,0.08035747154013267,0.33333333333333326,0.0,0.004333333333333329,0.013108371567923239,0.26,0.5049252369900865,4.96,0.19694638556693234,0.02,0.1407052941362897,0.02,0.1407052941362897,19.25,1.684000767772564,13.09,5.214771172720658,0.75,1.6840007677725644,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,24.0,24.0,100,29.16,1.6800673387177862,0.972,0.056002244623926174,0.042,0.08400336693588928,0.33333333333333326,0.0,0.003666666666666667,0.010482201257840667,0.31,0.5259911279353167,4.96,0.19694638556693234,0.02,0.1407052941362897,0.02,0.14070529413628968,19.13,1.7959269292912603,12.83,5.230166963362304,0.87,1.7959269292912599,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,25.0,25.0,100,28.97,1.8556765217934286,0.9656666666666667,0.06185588405978093,0.051500000000000004,0.09278382608967138,0.33333333333333326,0.0,0.006333333333333329,0.015494106623724387,0.37,0.5623723199648311,4.96,0.19694638556693234,0.03,0.1714466079977653,0.01,0.09999999999999999,18.97,1.8933962857652111,12.62,5.2219041381743905,1.03,1.8933962857652107,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,26.0,26.0,100,28.58,2.2571099783895012,0.9526666666666667,0.07523699927965005,0.071,0.11285549891947506,0.33333333333333326,0.0,0.013000000000000003,0.025467569219115034,0.47,0.6428314889862842,4.91,0.28762349126466136,0.09,0.2876234912646613,0.0,0.0,18.59,2.256729554649445,12.42,5.1994172167599135,1.41,2.256729554649445,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,27.0,27.0,100,28.34,2.5632208274163597,0.9446666666666667,0.08544069424721201,0.083,0.128161041370818,0.33333333333333326,0.0,0.008,0.020167647526025602,0.5,0.6590473688161074,4.86,0.3487350880197771,0.1,0.30151134457776363,0.04,0.19694638556693236,18.3,2.679891449633395,12.18,5.248145415575897,1.7,2.6798914496333954,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,28.0,28.0,100,28.11,2.722502562353285,0.937,0.09075008541177618,0.09449999999999999,0.13612512811766428,0.33333333333333326,0.0,0.007666666666666674,0.0182604919643174,0.54,0.6730002176294543,4.84,0.3949172013974524,0.13,0.3666666666666667,0.03,0.1714466079977653,18.09,2.7746871695542343,12.01,5.205853348962981,1.91,2.774687169554234,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,29.0,29.0,100,27.83,2.8956777263620848,0.9276666666666666,0.09652259087873616,0.1085,0.14478388631810424,0.33333333333333326,0.0,0.009333333333333334,0.020694995247228936,0.57,0.7,4.79,0.43333333333333324,0.2,0.4264014327112209,0.01,0.1,17.83,2.9130670428192333,11.85,5.197853092159952,2.17,2.913067042819234,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,30.0,30.0,100,27.62,3.0477015681468633,0.9206666666666666,0.10159005227156208,0.11900000000000001,0.15238507840734314,0.33333333333333326,0.0,0.006999999999999996,0.018528953289076437,0.62,0.7216703408122582,4.77,0.4461960433384737,0.2,0.40201512610368484,0.03,0.1714466079977653,17.6,3.1366198109404073,11.73,5.155863583622952,2.4,3.1366198109404073,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,31.0,31.0,100,27.29,3.3007345371672177,0.9096666666666667,0.1100244845722406,0.13549999999999998,0.16503672685836088,0.33333333333333326,0.0,0.011,0.028051179776770286,0.63,0.7338152686370382,4.75,0.4793724854411022,0.21,0.4333333333333333,0.04,0.19694638556693242,17.28,3.366741673331872,11.47,5.095957994213442,2.72,3.3667416733318714,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,32.0,32.0,100,27.09,3.4731146327936333,0.903,0.11577048775978775,0.1455,0.1736557316396817,0.33333333333333326,0.0,0.006666666666666662,0.017082358106351263,0.69,0.8001893715259097,4.71,0.5182526976156117,0.27,0.48938221207451915,0.02,0.14070529413628968,17.08,3.529614967412426,11.34,5.125141042651481,2.92,3.529614967412426,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,33.0,33.0,100,26.91,3.6211918346078145,0.897,0.12070639448692713,0.1545,0.1810595917303907,0.33333333333333326,0.0,0.006,0.0179661734782356,0.74,0.8362977576162328,4.69,0.5259911279353169,0.28,0.4940044575106627,0.03,0.1714466079977653,16.88,3.693510552580052,11.18,5.0639945106645206,3.12,3.6935105525800522,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,34.0,34.0,100,26.74,3.7567985510984445,0.8913333333333334,0.12522661836994806,0.163,0.1878399275549221,0.33333333333333326,0.0,0.005666666666666672,0.0183830058641554,0.75,0.8453676505795952,4.67,0.5328596381218923,0.29,0.5182526976156117,0.04,0.19694638556693236,16.7,3.8362966148580986,10.99,5.0161255119379895,3.3,3.836296614858099,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,35.0,35.0,100,26.56,3.8646807857515966,0.8853333333333333,0.12882269285838652,0.172,0.19323403928757982,0.33333333333333326,0.0,0.006,0.01733022505153065,0.79,0.844411216783803,4.66,0.5545040554177646,0.3,0.5222329678670936,0.04,0.19694638556693236,16.54,3.9323059777985616,10.76,4.930056241611707,3.46,3.932305977798562,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,36.0,36.0,100,26.3,4.021407362070793,0.8766666666666667,0.13404691206902644,0.185,0.20107036810353965,0.33333333333333326,0.0,0.008666666666666665,0.02253317793264207,0.84,0.8729376850727674,4.64,0.5599422769673258,0.34,0.5545040554177647,0.02,0.1407052941362897,16.32,4.014821026993342,10.64,4.95335821193638,3.68,4.014821026993343,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,37.0,37.0,100,26.18,4.033646369019356,0.8726666666666667,0.1344548789673118,0.191,0.2016823184509678,0.33333333333333326,0.0,0.0040000000000000036,0.014432784726862026,0.85,0.8804842561071295,4.62,0.5646130345536478,0.36,0.5599422769673259,0.02,0.1407052941362897,16.22,3.993884213533376,10.39,4.943917801938381,3.78,3.9938842135333763,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
0.15,38.0,38.0,100,25.97,4.11563905711918,0.8656666666666666,0.13718796857063933,0.20149999999999998,0.205781952855959,0.33333333333333326,0.0,0.006999999999999995,0.01727508992052038,0.93,0.8791065253018445,4.6,0.5685352436149611,0.38,0.5646130345536479,0.02,0.14070529413628968,16.01,4.061385045135278,10.22,4.945317140099472,3.99,4.061385045135278,5.0,0.0,30.0,0.0,6.0,0.0,1.5,0.0,0.63,0.7608474807008886
