RunId,seed,radius_profile,event_index,event_step,event_time_s,event_types,next_event_step,coverage_threshold,threshold_reached,time_to_90_percent_nominal_service_after_event_s
15,14,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,23.0
15,14,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,130.0
16,15,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,98.0
16,15,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
16,15,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,1.0
16,15,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
17,16,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
17,16,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
17,16,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,0.0
17,16,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,132.0
18,17,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
18,17,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
18,17,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,48.0
18,17,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,53.0
19,18,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,64.0
19,18,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
19,18,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,0.0
19,18,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
20,19,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
20,19,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
20,19,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,60.0
20,19,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
21,20,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,121.0
21,20,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
21,20,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,50.0
21,20,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,134.0
22,21,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,147.0
22,21,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
22,21,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,18.0
22,21,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,108.0
23,22,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
23,22,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
23,22,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,55.0
23,22,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
24,23,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,35.0
24,23,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
24,23,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,23.0
24,23,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,75.0
25,24,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,61.0
25,24,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
25,24,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,7.0
25,24,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,15.0
26,25,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
26,25,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
26,25,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,131.0
26,25,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,139.0
27,26,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,149.0
27,26,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
27,26,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,2.0
27,26,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
28,27,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
28,27,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,True,145.0
28,27,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,0.0
28,27,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,10.0
29,28,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,91.0
29,28,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
29,28,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,0.0
29,28,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
30,29,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
30,29,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,True,96.0
30,29,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,0.0
30,29,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,48.0
31,30,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
31,30,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
31,30,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,0.0
31,30,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,137.0
32,31,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,83.0
32,31,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
32,31,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,3.0
32,31,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,126.0
33,32,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,125.0
33,32,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
33,32,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,0.0
33,32,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,109.0
34,33,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
34,33,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
34,33,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,108.0
34,33,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,88.0
35,34,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
35,34,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
35,34,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,35.0
35,34,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
36,35,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,133.0
36,35,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
36,35,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,24.0
36,35,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,133.0
37,36,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
37,36,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
37,36,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,107.0
37,36,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
38,37,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
38,37,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
38,37,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,41.0
38,37,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,111.0
39,38,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
39,38,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
39,38,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,3.0
39,38,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,140.0
40,39,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,True,49.0
40,39,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
40,39,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,19.0
40,39,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,False,
41,40,rd10_rp10_nominal,1,600,600.0,set_priorities,750.0,0.9,False,
41,40,rd10_rp10_nominal,2,750,750.0,reconfigure + set_priorities,900.0,0.9,False,
41,40,rd10_rp10_nominal,3,900,900.0,add_points + set_priorities,1050.0,0.9,True,0.0
41,40,rd10_rp10_nominal,4,1050,1050.0,remove_points + set_priorities,,0.9,True,72.0
