radius_profile,replications,J_delta_mean,J_delta_std,J_delta_dynamic_mean,J_delta_dynamic_std,runs_reaching_90_percent_nominal_service,time_to_90_percent_nominal_service_mean_s,time_to_90_percent_nominal_service_std_s,event_episode_cases,event_episode_cases_reaching_90_percent_nominal_service,runs_contributing_to_event_response_mean,mean_event_response_time_mean_s,mean_event_response_time_std_s,final_residual_deficit_mean,final_residual_deficit_std,final_normalized_deficit_mean,final_normalized_deficit_std,mean_excess_service_units_mean,mean_excess_service_units_std,final_excess_service_units_mean,final_excess_service_units_std
rd10_rp10_nominal,100,0.28365583333333333,0.035114708322873035,0.28995,0.03268931093465747,99,430.1212121212121,209.39934861053362,400,218,99,62.24326599326599,26.275367498545627,2.38,0.9076554323301237,0.11900000000000001,0.04538277161650619,0.136825,0.1663225696654987,0.0,0.0
rd25_rp25_potenziato,100,0.23643180555555557,0.045279360383499674,0.20364361111111112,0.027824675073482543,100,409.73,199.2215585571486,400,353,100,39.075833333333335,15.43682181905253,1.03,0.7971540286886504,0.051500000000000004,0.039857701434432506,0.23751666666666665,0.2683268496822142,0.0,0.0
