RunId,match,drone_sensing_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
58,0.1,25.0,5,0.4001111111111111,600.0,10.0,0.3333333333333333,164.0,0,0,
59,0.2,25.0,5,0.4091111111111111,600.0,10.0,0.3333333333333333,217.0,0,0,
60,0.0,10.0,6,0.5513333333333333,600.0,11.0,0.3666666666666666,515.0,0,0,
61,0.025,10.0,6,0.5051666666666667,600.0,10.0,0.3333333333333333,354.0,0,0,
62,0.05,10.0,6,0.5215555555555556,600.0,11.0,0.3666666666666666,403.0,0,0,
63,0.1,10.0,6,0.47294444444444445,600.0,10.0,0.3333333333333333,212.0,0,0,
64,0.2,10.0,6,0.5614444444444444,600.0,10.0,0.3333333333333333,402.0,0,0,
65,0.0,25.0,6,0.5808333333333333,600.0,12.0,0.4,519.0,0,0,
66,0.025,25.0,6,0.5055000000000001,600.0,10.0,0.3333333333333333,318.0,0,0,
67,0.05,25.0,6,0.5001666666666668,600.0,10.0,0.3333333333333333,225.0,0,0,
68,0.1,25.0,6,0.4701666666666666,600.0,10.0,0.3333333333333333,225.0,0,0,
69,0.2,25.0,6,0.6481111111111111,600.0,11.0,0.3666666666666666,535.0,0,0,
70,0.0,10.0,7,0.48133333333333334,600.0,10.0,0.3333333333333333,317.0,0,0,
71,0.025,10.0,7,0.49399999999999994,600.0,10.0,0.3333333333333333,255.0,0,0,
72,0.05,10.0,7,0.5072222222222222,600.0,11.0,0.3666666666666666,289.0,0,0,
73,0.1,10.0,7,0.49666666666666665,600.0,11.0,0.3666666666666666,247.0,0,0,
74,0.2,10.0,7,0.5213333333333333,600.0,11.0,0.3666666666666666,366.0,0,0,
75,0.0,25.0,7,0.4857222222222222,600.0,10.0,0.3333333333333333,211.0,0,0,
76,0.025,25.0,7,0.4778888888888889,600.0,10.0,0.3333333333333333,235.0,0,0,
77,0.05,25.0,7,0.4666111111111111,600.0,10.0,0.3333333333333333,223.0,0,0,
78,0.1,25.0,7,0.48127777777777775,600.0,10.0,0.3333333333333333,268.0,0,0,
79,0.2,25.0,7,0.47861111111111115,600.0,10.0,0.3333333333333333,169.0,0,0,
80,0.0,10.0,8,0.5094444444444444,600.0,10.0,0.3333333333333333,437.0,0,0,
81,0.025,10.0,8,0.4908888888888888,600.0,10.0,0.3333333333333333,304.0,0,0,
82,0.05,10.0,8,0.4744444444444444,600.0,10.0,0.3333333333333333,250.0,0,0,
83,0.1,10.0,8,0.5117777777777778,600.0,11.0,0.3666666666666666,339.0,0,0,
84,0.2,10.0,8,0.48411111111111105,600.0,10.0,0.3333333333333333,372.0,0,0,
85,0.0,25.0,8,0.47816666666666663,600.0,11.0,0.3666666666666666,235.0,0,0,
86,0.025,25.0,8,0.46149999999999997,600.0,11.0,0.3666666666666666,255.0,0,0,
87,0.05,25.0,8,0.44583333333333336,600.0,10.0,0.3333333333333333,254.0,0,0,
88,0.1,25.0,8,0.4776666666666667,600.0,10.0,0.3333333333333333,197.0,0,0,
89,0.2,25.0,8,0.4830555555555555,600.0,10.0,0.3333333333333333,297.0,0,0,
90,0.0,10.0,9,0.4984444444444444,600.0,10.0,0.3333333333333333,270.0,0,0,
91,0.025,10.0,9,0.502,600.0,10.0,0.3333333333333333,259.0,0,0,
92,0.05,10.0,9,0.45683333333333326,600.0,10.0,0.3333333333333333,200.0,0,0,
93,0.1,10.0,9,0.4673333333333333,600.0,10.0,0.3333333333333333,185.0,0,0,
94,0.2,10.0,9,0.5168888888888888,600.0,10.0,0.3333333333333333,295.0,0,0,
95,0.0,25.0,9,0.49116666666666664,600.0,10.0,0.3333333333333333,322.0,0,0,
96,0.025,25.0,9,0.503611111111111,600.0,11.0,0.3666666666666666,300.0,0,0,
97,0.05,25.0,9,0.5206666666666666,600.0,11.0,0.3666666666666666,345.0,0,0,
