point_sensing_radius,Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
10.0,13.0,13.0,100,29.37,1.0115993936995682,0.9790000000000001,0.0337199797899856,0.0315,0.0505799696849784,0.33333333333333326,0.0,0.006333333333333342,0.013970467488263557,0.47,0.7171069824248152,14.84,0.4197161137740796,0.12,0.3265986323710903,0.04,0.19694638556693236,19.37,1.0313764461812058,14.61,4.5436046740824,0.63,1.031376446181206,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,14.0,14.0,100,29.19,1.1607642901871753,0.973,0.0386921430062392,0.0405,0.05803821450935878,0.33333333333333326,0.0,0.005999999999999994,0.01598259434854017,0.58,0.7808309482192479,14.77,0.5096047190685833,0.16,0.4431293675255979,0.07,0.2564323999762428,19.18,1.2340292876703862,13.94,4.732906510845532,0.82,1.234029287670387,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,15.0,15.0,100,28.91,1.3713887379977532,0.9636666666666668,0.0457129579332585,0.0545,0.06856943689988769,0.33333333333333326,0.0,0.009333333333333334,0.017134838592840426,0.74,0.8482900209220662,14.65,0.6415731927193976,0.24,0.5148305595538255,0.11,0.34509550720186005,18.87,1.521927273644383,13.6,4.594682917363406,1.13,1.5219272736443836,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,16.0,16.0,100,28.65,1.5333003949031327,0.955,0.05111001316343775,0.0675,0.0766650197451566,0.33333333333333326,0.0,0.008666666666666675,0.01872477727372526,0.88,0.9458041311738146,14.53,0.7171069824248152,0.27,0.5290548080293664,0.2,0.4714045207910316,18.5,1.920122049992834,13.22,4.875376183361949,1.5,1.9201220499928349,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,17.0,17.0,100,28.45,1.5594287998553125,0.9483333333333333,0.05198095999517709,0.0775,0.07797143999276564,0.33333333333333326,0.0,0.006666666666666666,0.014982219165849823,0.98,0.9318169499868676,14.43,0.7555184185763307,0.36,0.5777000724747865,0.21,0.4983812179284432,18.3,1.9095718489925027,12.96,4.76926184916058,1.7,1.9095718489925033,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,18.0,18.0,100,28.3,1.6666666666666665,0.9433333333333332,0.05555555555555556,0.085,0.08333333333333333,0.33333333333333326,0.0,0.0049999999999999975,0.012866403235209082,1.07,1.0175728698498923,14.37,0.7740096311357559,0.45,0.7017294652672371,0.18,0.41145221993924064,18.15,1.981607346768698,12.88,4.4907986736517955,1.85,1.9816073467686977,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,19.0,19.0,100,28.06,1.7628030937897592,0.9353333333333333,0.058760103126325305,0.09699999999999999,0.08814015468948797,0.33333333333333326,0.0,0.008000000000000014,0.015798961451327014,1.18,1.1044446476840655,14.24,0.7800543881581901,0.54,0.6422812876966387,0.22,0.43992653197477616,17.9,1.9924098397912453,12.85,4.445801560478325,2.1,1.9924098397912433,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,20.0,20.0,100,27.81,1.9106030567347156,0.927,0.06368676855782385,0.10950000000000001,0.09553015283673583,0.33333333333333326,0.0,0.00833333333333333,0.01796304974119064,1.3,1.1590661514488045,14.11,0.8515582864088135,0.72,0.8418354166265927,0.17,0.40339468604243245,17.71,2.011557515052363,12.97,4.4618585609790244,2.29,2.011557515052363,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,21.0,21.0,100,27.66,1.975711098170566,0.922,0.06585703660568552,0.117,0.09878555490852829,0.33333333333333326,0.0,0.004999999999999996,0.013710981778281029,1.39,1.1967548714010827,14.05,0.9031370691409834,0.72,0.8418354166265927,0.23,0.4682872294787989,17.45,2.2890825651118374,12.96,4.296862844335423,2.55,2.2890825651118374,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,22.0,22.0,100,27.41,2.089391192561976,0.9136666666666666,0.06964637308539919,0.1295,0.10446955962809878,0.33333333333333326,0.0,0.00833333333333333,0.01666666666666666,1.54,1.2746162028808767,13.95,0.9468181696950304,0.74,0.8482900209220662,0.31,0.5807518637703432,17.2,2.344130861310754,13.06,4.084511271037494,2.8,2.344130861310754,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,23.0,23.0,100,27.17,2.1511331286960695,0.9056666666666666,0.07170443762320228,0.14150000000000001,0.10755665643480344,0.33333333333333326,0.0,0.008000000000000002,0.016494055658141576,1.69,1.331020721708029,13.86,0.9430232920203666,0.98,0.9098784467602185,0.16,0.4197161137740797,17.14,2.1882145297668667,12.67,4.148883262184214,2.86,2.1882145297668667,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,24.0,24.0,100,26.91,2.16069106042161,0.897,0.07202303534738697,0.1545,0.10803455302108046,0.33333333333333326,0.0,0.00866666666666667,0.01683084123300289,1.8,1.2792042981336624,13.71,0.9979271445644643,1.12,0.9977753031397177,0.17,0.4277023415055065,16.94,2.135888621164551,12.61,4.042439007741877,3.06,2.13588862116455,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,25.0,25.0,100,26.75,2.221906543234591,0.8916666666666667,0.07406355144115301,0.1625,0.11109532716172954,0.33333333333333326,0.0,0.005333333333333337,0.013163906713248423,1.87,1.260551426555021,13.62,1.080403964854224,1.17,1.0736043324364253,0.21,0.45604802157206864,16.73,2.1920655818545933,12.66,3.877466631029527,3.27,2.1920655818545933,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,26.0,26.0,100,26.5,2.311586975096188,0.8833333333333333,0.07705289916987294,0.175,0.11557934875480938,0.33333333333333326,0.0,0.008333333333333331,0.019171972622325555,2.0,1.3180947376322147,13.5,1.1055415967851334,1.31,1.060731594302496,0.19,0.4191140246479061,16.56,2.306424930405489,12.6,3.6762958960278915,3.44,2.306424930405488,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,27.0,27.0,100,26.35,2.2978909961751954,0.8783333333333333,0.07659636653917318,0.1825,0.11489454980875972,0.33333333333333326,0.0,0.004999999999999994,0.013710981778281027,2.11,1.3095993681468028,13.46,1.1229470606444902,1.36,1.0779704086941357,0.18,0.3861229196653691,16.42,2.2793761329705005,12.49,3.8989638613251083,3.58,2.2793761329705013,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,28.0,28.0,100,26.17,2.283250385575862,0.8723333333333333,0.07610834618586201,0.19149999999999998,0.1141625192787931,0.33333333333333326,0.0,0.006000000000000005,0.013715073997974694,2.17,1.295329605883687,13.34,1.1121005695384192,1.53,1.077361160756722,0.13,0.33799766898963113,16.34,2.2212017859117106,12.38,4.00953409218124,3.66,2.2212017859117106,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,29.0,29.0,100,25.98,2.3354103309999754,0.866,0.07784701103333251,0.201,0.11677051654999879,0.33333333333333326,0.0,0.006333333333333329,0.018161885819505716,2.26,1.3455500921574979,13.24,1.1020641789593992,1.6,1.063632046956621,0.16,0.3684529491774707,16.14,2.242923777284255,12.53,3.9066247800009117,3.86,2.242923777284255,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,30.0,30.0,100,25.8,2.474108348721236,0.86,0.08247027829070785,0.21,0.12370541743606178,0.33333333333333326,0.0,0.005999999999999997,0.01733022505153063,2.33,1.3637070688740196,13.13,1.2115187896924167,1.62,1.1957838391193412,0.25,0.5198095999517711,15.95,2.2624515174223885,12.52,3.748346436777291,4.05,2.262451517422389,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,31.0,31.0,100,25.59,2.4581137549599354,0.853,0.08193712516533115,0.2205,0.12290568774799675,0.33333333333333326,0.0,0.006999999999999996,0.01727508992052038,2.47,1.3666666666666667,13.06,1.196121678888511,1.82,1.1667099559068317,0.12,0.38349798835288185,15.88,2.2350739485653612,12.51,3.831013790978397,4.12,2.235073948565362,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,32.0,32.0,100,25.38,2.4813648899691714,0.846,0.08271216299897237,0.231,0.12406824449845859,0.33333333333333326,0.0,0.006999999999999998,0.01444444444444444,2.54,1.3589954697748945,12.92,1.2117272086913078,1.89,1.162503394151665,0.19,0.4648231987117319,15.61,2.308941775188825,12.06,4.014670068333855,4.39,2.308941775188825,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,33.0,33.0,100,25.25,2.5080677902329596,0.8416666666666667,0.08360225967443195,0.2375,0.12540338951164798,0.33333333333333326,0.0,0.004333333333333332,0.012222222222222223,2.62,1.3690666288911704,12.87,1.2280805422209973,1.99,1.1590225767142475,0.14,0.37658754867650873,15.49,2.3762078268458833,12.28,3.6874890857568308,4.51,2.3762078268458833,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,34.0,34.0,100,25.08,2.472801543744963,0.836,0.08242671812483209,0.24600000000000002,0.12364007718724818,0.33333333333333326,0.0,0.00566666666666667,0.013446489534747757,2.7,1.3371158468430429,12.78,1.2108933174572512,2.07,1.2247861078984403,0.15,0.38599209705627263,15.35,2.2758059955305785,12.2,3.504686616921444,4.65,2.275805995530579,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,35.0,35.0,100,24.91,2.462219578454621,0.8303333333333334,0.08207398594848736,0.2545,0.12311097892273108,0.33333333333333326,0.0,0.0056666666666666645,0.015752718754175356,2.81,1.3610379283562388,12.72,1.1898561155692629,2.15,1.1579762911688178,0.13,0.39325114703769737,15.25,2.2934910093787177,12.07,3.6521890488424673,4.75,2.2934910093787177,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,36.0,36.0,100,24.72,2.424954440892455,0.8240000000000001,0.08083181469641515,0.264,0.12124772204462275,0.33333333333333326,0.0,0.006333333333333335,0.013970467488263541,2.91,1.3340528361714052,12.63,1.1776967763264437,2.2,1.1891767800211261,0.17,0.4507009131689364,15.04,2.1969676071045434,11.86,3.6625872623796223,4.96,2.1969676071045443,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,37.0,37.0,100,24.56,2.475414463817477,0.8186666666666668,0.08251381546058255,0.272,0.12377072319087387,0.33333333333333326,0.0,0.005333333333333332,0.01477097891751993,2.96,1.3327271349235807,12.52,1.2183777921664711,2.31,1.203488196196306,0.17,0.40339468604243256,14.88,2.2798192379168474,11.8,3.7145632041977428,5.12,2.2798192379168483,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,38.0,38.0,100,24.53,2.480041544129062,0.8176666666666667,0.08266805147096871,0.2735,0.1240020772064531,0.33333333333333326,0.0,0.0010000000000000009,0.005714886933258847,2.97,1.3443108707332976,12.5,1.2185435916898852,2.39,1.2783749153681105,0.11,0.31446603773522025,14.91,2.1839404661290467,11.79,3.539945214436534,5.09,2.183940466129047,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,39.0,39.0,100,24.34,2.519499709838997,0.8113333333333334,0.0839833236612999,0.28300000000000003,0.1259749854919498,0.33333333333333326,0.0,0.006333333333333334,0.014751971087077966,3.11,1.3772685601830483,12.45,1.233988360045293,2.46,1.234356659817722,0.09,0.28762349126466136,14.75,2.262451517422389,11.87,3.4308611281729378,5.25,2.262451517422389,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
