point_sensing_radius,replications,J_delta_mean,J_delta_std,runs_reaching_90_percent_nominal_service,time_to_90_percent_nominal_service_mean_s,time_to_90_percent_nominal_service_std_s,event_episode_cases,event_episode_cases_reaching_90_percent_nominal_service,runs_contributing_to_event_response_mean,mean_event_response_time_mean_s,mean_event_response_time_std_s,final_residual_deficit_mean,final_residual_deficit_std,final_normalized_deficit_mean,final_normalized_deficit_std
10.0,100,0.45082944444444445,0.0672514282284431,94,254.27659574468086,109.45794147400771,0,0,0,,,8.9,2.409996018270737,0.29666666666666663,0.08033320060902459
15.0,100,0.449115,0.07692473897715921,91,259.7912087912088,113.15599031460131,0,0,0,,,8.89,2.5540421517921965,0.2963333333333333,0.08513473839307323
20.0,100,0.422825,0.06907740280250764,97,226.27835051546393,93.07274733911564,0,0,0,,,8.12,2.551608722102014,0.2706666666666666,0.08505362407006714
25.0,100,0.40265999999999996,0.07248986292552198,97,194.96907216494844,98.21940295500927,0,0,0,,,7.68,2.448994846375908,0.256,0.08163316154586361
