RunId,point_sensing_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
377,15.0,94,0.4801111111111111,600.0,9.0,0.3,291.0,0,0,
378,20.0,94,0.4628888888888888,600.0,9.0,0.3,289.0,0,0,
379,25.0,94,0.44161111111111107,600.0,8.0,0.2666666666666666,287.0,0,0,
380,10.0,95,0.4498333333333333,600.0,10.0,0.3333333333333333,241.0,0,0,
381,15.0,95,0.6176111111111111,600.0,16.0,0.5333333333333333,,0,0,
382,20.0,95,0.43855555555555553,600.0,10.0,0.3333333333333333,272.0,0,0,
383,25.0,95,0.3468333333333333,600.0,7.0,0.2333333333333333,90.0,0,0,
384,10.0,96,0.4140555555555555,600.0,5.0,0.1666666666666666,264.0,0,0,
385,15.0,96,0.41661111111111104,600.0,8.0,0.2666666666666666,195.0,0,0,
386,20.0,96,0.4299444444444444,600.0,6.0,0.2,260.0,0,0,
387,25.0,96,0.4349444444444444,600.0,10.0,0.3333333333333333,155.0,0,0,
388,10.0,97,0.41788888888888887,600.0,8.0,0.2666666666666666,183.0,0,0,
389,15.0,97,0.3804444444444445,600.0,6.0,0.2,186.0,0,0,
390,20.0,97,0.3074444444444444,600.0,5.0,0.1666666666666666,118.0,0,0,
391,25.0,97,0.32172222222222224,600.0,6.0,0.2,105.0,0,0,
392,10.0,98,0.43816666666666665,600.0,4.0,0.1333333333333333,313.0,0,0,
393,15.0,98,0.33805555555555555,600.0,4.0,0.1333333333333333,157.0,0,0,
394,20.0,98,0.28927777777777774,600.0,4.0,0.1333333333333333,79.0,0,0,
395,25.0,98,0.16738888888888884,600.0,1.0,0.0333333333333333,59.0,0,0,
396,10.0,99,0.358,600.0,6.0,0.2,142.0,0,0,
397,15.0,99,0.36377777777777776,600.0,6.0,0.2,123.0,0,0,
398,20.0,99,0.27649999999999997,600.0,2.0,0.0666666666666666,210.0,0,0,
399,25.0,99,0.2796666666666666,600.0,2.0,0.0666666666666666,105.0,0,0,
