RunId,point_sensing_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
196,10.0,49,0.3640555555555555,600.0,7.0,0.2333333333333333,83.0,0,0,
197,15.0,49,0.2702777777777778,600.0,4.0,0.1333333333333333,93.0,0,0,
198,20.0,49,0.335,600.0,6.0,0.2,102.0,0,0,
199,25.0,49,0.2850555555555555,600.0,5.0,0.1666666666666666,95.0,0,0,
200,10.0,50,0.4428888888888889,600.0,10.0,0.3333333333333333,213.0,0,0,
201,15.0,50,0.41533333333333333,600.0,10.0,0.3333333333333333,154.0,0,0,
202,20.0,50,0.40094444444444444,600.0,10.0,0.3333333333333333,133.0,0,0,
203,25.0,50,0.40605555555555556,600.0,10.0,0.3333333333333333,158.0,0,0,
204,10.0,51,0.4375,600.0,10.0,0.3333333333333333,136.0,0,0,
205,15.0,51,0.45011111111111113,600.0,10.0,0.3333333333333333,185.0,0,0,
206,20.0,51,0.4578888888888889,600.0,10.0,0.3333333333333333,288.0,0,0,
207,25.0,51,0.49344444444444446,600.0,10.0,0.3333333333333333,401.0,0,0,
208,10.0,52,0.4097222222222222,600.0,10.0,0.3333333333333333,102.0,0,0,
209,15.0,52,0.42611111111111105,600.0,10.0,0.3333333333333333,105.0,0,0,
210,20.0,52,0.34855555555555556,600.0,7.0,0.2333333333333333,84.0,0,0,
211,25.0,52,0.29255555555555557,600.0,5.0,0.1666666666666666,80.0,0,0,
212,10.0,53,0.37955555555555553,600.0,9.0,0.3,131.0,0,0,
213,15.0,53,0.36916666666666664,600.0,8.0,0.2666666666666666,138.0,0,0,
214,20.0,53,0.4402777777777777,600.0,7.0,0.2333333333333333,412.0,0,0,
215,25.0,53,0.28572222222222216,600.0,5.0,0.1666666666666666,100.0,0,0,
216,10.0,54,0.4925555555555555,600.0,11.0,0.3666666666666666,249.0,0,0,
217,15.0,54,0.4051666666666667,600.0,10.0,0.3333333333333333,123.0,0,0,
218,20.0,54,0.39944444444444444,600.0,10.0,0.3333333333333333,112.0,0,0,
219,25.0,54,0.40149999999999997,600.0,10.0,0.3333333333333333,118.0,0,0,
220,10.0,55,0.4451666666666666,600.0,10.0,0.3333333333333333,244.0,0,0,
221,15.0,55,0.42261111111111105,600.0,11.0,0.3666666666666666,81.0,0,0,
222,20.0,55,0.42527777777777775,600.0,11.0,0.3666666666666666,84.0,0,0,
223,25.0,55,0.4122777777777778,600.0,10.0,0.3333333333333333,93.0,0,0,
224,10.0,56,0.46422222222222215,600.0,9.0,0.3,256.0,0,0,
225,15.0,56,0.35283333333333333,600.0,6.0,0.2,130.0,0,0,
226,20.0,56,0.3212222222222222,600.0,5.0,0.1666666666666666,113.0,0,0,
227,25.0,56,0.33138888888888884,600.0,5.0,0.1666666666666666,120.0,0,0,
228,10.0,57,0.4221111111111111,600.0,10.0,0.3333333333333333,122.0,0,0,
229,15.0,57,0.43161111111111106,600.0,10.0,0.3333333333333333,212.0,0,0,
230,20.0,57,0.45055555555555554,600.0,11.0,0.3666666666666666,179.0,0,0,
231,25.0,57,0.48122222222222216,600.0,11.0,0.3666666666666666,311.0,0,0,
232,10.0,58,0.4042222222222222,600.0,7.0,0.2333333333333333,132.0,0,0,
233,15.0,58,0.3695555555555555,600.0,7.0,0.2333333333333333,102.0,0,0,
234,20.0,58,0.3246111111111111,600.0,6.0,0.2,77.0,0,0,
235,25.0,58,0.2876666666666667,600.0,6.0,0.2,67.0,0,0,
236,10.0,59,0.3697222222222222,600.0,10.0,0.3333333333333333,46.0,0,0,
237,15.0,59,0.36727777777777776,600.0,10.0,0.3333333333333333,46.0,0,0,
238,20.0,59,0.3682222222222222,600.0,10.0,0.3333333333333333,44.0,0,0,
239,25.0,59,0.3633888888888889,600.0,10.0,0.3333333333333333,35.0,0,0,
240,10.0,60,0.41755555555555557,600.0,10.0,0.3333333333333333,131.0,0,0,
241,15.0,60,0.4001111111111111,600.0,10.0,0.3333333333333333,112.0,0,0,
242,20.0,60,0.40938888888888886,600.0,10.0,0.3333333333333333,128.0,0,0,
243,25.0,60,0.4125555555555555,600.0,10.0,0.3333333333333333,80.0,0,0,
244,10.0,61,0.46905555555555545,600.0,10.0,0.3333333333333333,219.0,0,0,
245,15.0,61,0.43161111111111106,600.0,10.0,0.3333333333333333,208.0,0,0,
246,20.0,61,0.5268888888888889,600.0,10.0,0.3333333333333333,380.0,0,0,
247,25.0,61,0.46388888888888885,600.0,10.0,0.3333333333333333,278.0,0,0,
248,10.0,62,0.39894444444444443,600.0,7.0,0.2333333333333333,118.0,0,0,
249,15.0,62,0.3636111111111111,600.0,6.0,0.2,112.0,0,0,
250,20.0,62,0.37249999999999994,600.0,5.0,0.1666666666666666,202.0,0,0,
251,25.0,62,0.36249999999999993,600.0,5.0,0.1666666666666666,118.0,0,0,
252,10.0,63,0.4081666666666667,600.0,10.0,0.3333333333333333,82.0,0,0,
253,15.0,63,0.40477777777777774,600.0,10.0,0.3333333333333333,74.0,0,0,
254,20.0,63,0.44433333333333336,600.0,10.0,0.3333333333333333,180.0,0,0,
255,25.0,63,0.4303333333333333,600.0,10.0,0.3333333333333333,342.0,0,0,
256,10.0,64,0.47138888888888886,600.0,11.0,0.3666666666666666,221.0,0,0,
257,15.0,64,0.4141666666666667,600.0,9.0,0.3,169.0,0,0,
258,20.0,64,0.3471111111111111,600.0,6.0,0.2,152.0,0,0,
259,25.0,64,0.42027777777777775,600.0,10.0,0.3333333333333333,139.0,0,0,
260,10.0,65,0.4648333333333333,600.0,11.0,0.3666666666666666,201.0,0,0,
261,15.0,65,0.4348888888888889,600.0,10.0,0.3333333333333333,160.0,0,0,
262,20.0,65,0.4214444444444444,600.0,10.0,0.3333333333333333,176.0,0,0,
