RunId,initial_fleet_load,drone_sensing_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
64,0.5,10.0,4,0.285,600.0,0.0,0.0,315.0,0,0,
65,0.5,15.0,4,0.23583333333333334,600.0,0.0,0.0,196.0,0,0,
66,0.5,20.0,4,0.2475,600.0,0.0,0.0,213.0,0,0,
67,0.5,25.0,4,0.24383333333333335,600.0,0.0,0.0,226.0,0,0,
68,1.0,10.0,4,0.2446666666666667,600.0,0.0,0.0,249.0,0,0,
69,1.0,15.0,4,0.3645833333333333,600.0,2.0,0.1,350.0,0,0,
70,1.0,20.0,4,0.2619166666666667,600.0,1.0,0.05,289.0,0,0,
71,1.0,25.0,4,0.30791666666666667,600.0,2.0,0.1,459.0,0,0,
72,1.5,10.0,4,0.4450555555555555,600.0,8.0,0.2666666666666666,129.0,0,0,
73,1.5,15.0,4,0.5295555555555554,600.0,11.0,0.3666666666666666,370.0,0,0,
74,1.5,20.0,4,0.5257777777777778,600.0,12.0,0.4,387.0,0,0,
75,1.5,25.0,4,0.5558888888888889,600.0,11.0,0.3666666666666666,547.0,0,0,
76,2.0,10.0,4,0.6225833333333334,600.0,20.0,0.5,344.0,0,0,
77,2.0,15.0,4,0.5530833333333334,600.0,17.0,0.425,184.0,0,0,
78,2.0,20.0,4,0.4818333333333334,600.0,14.0,0.35,122.0,0,0,
79,2.0,25.0,4,0.6484166666666666,600.0,19.0,0.475,327.0,0,0,
80,0.5,10.0,5,0.15283333333333335,600.0,0.0,0.0,183.0,0,0,
81,0.5,15.0,5,0.14450000000000002,600.0,0.0,0.0,185.0,0,0,
82,0.5,20.0,5,0.18016666666666667,600.0,0.0,0.0,308.0,0,0,
83,0.5,25.0,5,0.10483333333333333,600.0,0.0,0.0,155.0,0,0,
84,1.0,10.0,5,0.3365,600.0,3.0,0.15,,0,0,
85,1.0,15.0,5,0.27775,600.0,1.0,0.05,414.0,0,0,
86,1.0,20.0,5,0.38058333333333333,600.0,5.0,0.25,,0,0,
87,1.0,25.0,5,0.31375,600.0,4.0,0.2,,0,0,
88,1.5,10.0,5,0.4022222222222222,600.0,8.0,0.2666666666666666,169.0,0,0,
89,1.5,15.0,5,0.43066666666666664,600.0,8.0,0.2666666666666666,256.0,0,0,
90,1.5,20.0,5,0.39594444444444443,600.0,7.0,0.2333333333333333,229.0,0,0,
91,1.5,25.0,5,0.5080555555555555,600.0,9.0,0.3,299.0,0,0,
92,2.0,10.0,5,0.5339583333333333,600.0,18.0,0.45,122.0,0,0,
93,2.0,15.0,5,0.5214583333333334,600.0,17.0,0.425,200.0,0,0,
94,2.0,20.0,5,0.5793333333333334,600.0,16.0,0.4,205.0,0,0,
95,2.0,25.0,5,0.6678333333333333,600.0,24.0,0.6,,0,0,
96,0.5,10.0,6,0.2343333333333333,600.0,0.0,0.0,194.0,0,0,
97,0.5,15.0,6,0.19733333333333333,600.0,0.0,0.0,244.0,0,0,
98,0.5,20.0,6,0.1905,600.0,0.0,0.0,176.0,0,0,
99,0.5,25.0,6,0.3215,600.0,0.0,0.0,490.0,0,0,
100,1.0,10.0,6,0.27666666666666667,600.0,2.0,0.1,448.0,0,0,
101,1.0,15.0,6,0.24533333333333332,600.0,2.0,0.1,314.0,0,0,
102,1.0,20.0,6,0.28525,600.0,2.0,0.1,441.0,0,0,
103,1.0,25.0,6,0.21275000000000002,600.0,1.0,0.05,228.0,0,0,
104,1.5,10.0,6,0.3824444444444444,600.0,7.0,0.2333333333333333,167.0,0,0,
105,1.5,15.0,6,0.37899999999999995,600.0,6.0,0.2,248.0,0,0,
106,1.5,20.0,6,0.377,600.0,6.0,0.2,167.0,0,0,
107,1.5,25.0,6,0.3703888888888889,600.0,5.0,0.1666666666666666,210.0,0,0,
108,2.0,10.0,6,0.4557083333333333,600.0,13.0,0.325,123.0,0,0,
109,2.0,15.0,6,0.4565416666666667,600.0,14.0,0.35,113.0,0,0,
110,2.0,20.0,6,0.4743333333333334,600.0,13.0,0.325,172.0,0,0,
111,2.0,25.0,6,0.45175000000000004,600.0,13.0,0.325,197.0,0,0,
112,0.5,10.0,7,0.17183333333333334,600.0,0.0,0.0,196.0,0,0,
113,0.5,15.0,7,0.16833333333333333,600.0,0.0,0.0,189.0,0,0,
114,0.5,20.0,7,0.15633333333333332,600.0,0.0,0.0,162.0,0,0,
115,0.5,25.0,7,0.164,600.0,0.0,0.0,202.0,0,0,
116,1.0,10.0,7,0.3394166666666667,600.0,3.0,0.15,,0,0,
117,1.0,15.0,7,0.27975,600.0,2.0,0.1,336.0,0,0,
118,1.0,20.0,7,0.24400000000000002,600.0,0.0,0.0,253.0,0,0,
119,1.0,25.0,7,0.29375,600.0,1.0,0.05,496.0,0,0,
120,1.5,10.0,7,0.4843333333333334,600.0,11.0,0.3666666666666666,274.0,0,0,
121,1.5,15.0,7,0.47605555555555557,600.0,10.0,0.3333333333333333,292.0,0,0,
122,1.5,20.0,7,0.45383333333333337,600.0,10.0,0.3333333333333333,226.0,0,0,
123,1.5,25.0,7,0.4568888888888889,600.0,10.0,0.3333333333333333,254.0,0,0,
124,2.0,10.0,7,0.5629166666666666,600.0,20.0,0.5,186.0,0,0,
125,2.0,15.0,7,0.5975,600.0,21.0,0.525,380.0,0,0,
126,2.0,20.0,7,0.580625,600.0,20.0,0.5,223.0,0,0,
127,2.0,25.0,7,0.5751666666666667,600.0,20.0,0.5,200.0,0,0,
128,0.5,10.0,8,0.108,600.0,0.0,0.0,129.0,0,0,
129,0.5,15.0,8,0.15216666666666667,600.0,0.0,0.0,144.0,0,0,
130,0.5,20.0,8,0.16583333333333333,600.0,0.0,0.0,142.0,0,0,
131,0.5,25.0,8,0.224,600.0,0.0,0.0,303.0,0,0,
132,1.0,10.0,8,0.29383333333333334,600.0,2.0,0.1,509.0,0,0,
133,1.0,15.0,8,0.29633333333333334,600.0,4.0,0.2,,0,0,
134,1.0,20.0,8,0.3016666666666667,600.0,0.0,0.0,397.0,0,0,
135,1.0,25.0,8,0.30441666666666667,600.0,0.0,0.0,278.0,0,0,
136,1.5,10.0,8,0.42433333333333334,600.0,9.0,0.3,225.0,0,0,
137,1.5,15.0,8,0.41527777777777775,600.0,6.0,0.2,267.0,0,0,
138,1.5,20.0,8,0.42494444444444446,600.0,9.0,0.3,173.0,0,0,
139,1.5,25.0,8,0.3500555555555555,600.0,7.0,0.2333333333333333,105.0,0,0,
140,2.0,10.0,8,0.5275833333333334,600.0,17.0,0.425,218.0,0,0,
141,2.0,15.0,8,0.5668333333333334,600.0,19.0,0.475,200.0,0,0,
142,2.0,20.0,8,0.5174166666666666,600.0,17.0,0.425,122.0,0,0,
143,2.0,25.0,8,0.4985833333333333,600.0,18.0,0.45,67.0,0,0,
144,0.5,10.0,9,0.13933333333333334,600.0,0.0,0.0,108.0,0,0,
145,0.5,15.0,9,0.15133333333333332,600.0,0.0,0.0,137.0,0,0,
146,0.5,20.0,9,0.1605,600.0,0.0,0.0,138.0,0,0,
147,0.5,25.0,9,0.2683333333333333,600.0,0.0,0.0,410.0,0,0,
148,1.0,10.0,9,0.28441666666666665,600.0,2.0,0.1,314.0,0,0,
149,1.0,15.0,9,0.181,600.0,0.0,0.0,199.0,0,0,
150,1.0,20.0,9,0.20708333333333334,600.0,0.0,0.0,262.0,0,0,
151,1.0,25.0,9,0.2514166666666667,600.0,1.0,0.05,302.0,0,0,
152,1.5,10.0,9,0.4006111111111111,600.0,8.0,0.2666666666666666,211.0,0,0,
153,1.5,15.0,9,0.37527777777777777,600.0,7.0,0.2333333333333333,112.0,0,0,
154,1.5,20.0,9,0.37955555555555553,600.0,7.0,0.2333333333333333,159.0,0,0,
155,1.5,25.0,9,0.4528888888888889,600.0,8.0,0.2666666666666666,241.0,0,0,
156,2.0,10.0,9,0.548875,600.0,19.0,0.475,174.0,0,0,
157,2.0,15.0,9,0.5044166666666666,600.0,17.0,0.425,102.0,0,0,
158,2.0,20.0,9,0.5356666666666666,600.0,17.0,0.425,147.0,0,0,
159,2.0,25.0,9,0.5337083333333333,600.0,17.0,0.425,190.0,0,0,
160,0.5,10.0,10,0.21133333333333332,600.0,0.0,0.0,222.0,0,0,
161,0.5,15.0,10,0.2306666666666667,600.0,0.0,0.0,243.0,0,0,
162,0.5,20.0,10,0.24283333333333332,600.0,0.0,0.0,260.0,0,0,
163,0.5,25.0,10,0.21949999999999997,600.0,0.0,0.0,318.0,0,0,
164,1.0,10.0,10,0.32133333333333336,600.0,2.0,0.1,486.0,0,0,
