RunId,coverage_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
63,15.0,15,0.5023333333333333,600.0,11.0,0.3666666666666666,472.0,0,0,
64,8.0,16,0.43894444444444447,600.0,10.0,0.3333333333333333,221.0,0,0,
65,10.0,16,0.4205,600.0,10.0,0.3333333333333333,215.0,0,0,
66,12.0,16,0.44850000000000007,600.0,10.0,0.3333333333333333,230.0,0,0,
67,15.0,16,0.4198333333333333,600.0,10.0,0.3333333333333333,188.0,0,0,
68,8.0,17,0.4799444444444444,600.0,10.0,0.3333333333333333,234.0,0,0,
69,10.0,17,0.46122222222222214,600.0,10.0,0.3333333333333333,237.0,0,0,
70,12.0,17,0.4754444444444444,600.0,11.0,0.3666666666666666,254.0,0,0,
71,15.0,17,0.45466666666666666,600.0,10.0,0.3333333333333333,250.0,0,0,
72,8.0,18,0.47094444444444444,600.0,11.0,0.3666666666666666,267.0,0,0,
73,10.0,18,0.45105555555555554,600.0,10.0,0.3333333333333333,236.0,0,0,
74,12.0,18,0.46061111111111114,600.0,10.0,0.3333333333333333,215.0,0,0,
75,15.0,18,0.4956111111111111,600.0,11.0,0.3666666666666666,271.0,0,0,
76,8.0,19,0.36416666666666664,600.0,8.0,0.2666666666666666,76.0,0,0,
77,10.0,19,0.3779444444444444,600.0,8.0,0.2666666666666666,78.0,0,0,
78,12.0,19,0.3646111111111111,600.0,8.0,0.2666666666666666,70.0,0,0,
79,15.0,19,0.3837222222222222,600.0,8.0,0.2666666666666666,79.0,0,0,
80,8.0,20,0.4177222222222222,600.0,10.0,0.3333333333333333,177.0,0,0,
81,10.0,20,0.4372222222222222,600.0,10.0,0.3333333333333333,215.0,0,0,
82,12.0,20,0.4358888888888888,600.0,10.0,0.3333333333333333,183.0,0,0,
83,15.0,20,0.39866666666666667,600.0,8.0,0.2666666666666666,187.0,0,0,
84,8.0,21,0.5819444444444445,600.0,10.0,0.3333333333333333,494.0,0,0,
85,10.0,21,0.6006666666666667,600.0,14.0,0.4666666666666667,,0,0,
86,12.0,21,0.6058333333333333,600.0,11.0,0.3666666666666666,538.0,0,0,
87,15.0,21,0.5658333333333333,600.0,10.0,0.3333333333333333,431.0,0,0,
88,8.0,22,0.3654444444444444,600.0,8.0,0.2666666666666666,167.0,0,0,
89,10.0,22,0.3671111111111111,600.0,8.0,0.2666666666666666,142.0,0,0,
90,12.0,22,0.36138888888888887,600.0,7.0,0.2333333333333333,146.0,0,0,
91,15.0,22,0.3424444444444444,600.0,7.0,0.2333333333333333,141.0,0,0,
92,8.0,23,0.4345,600.0,8.0,0.2666666666666666,252.0,0,0,
93,10.0,23,0.4051666666666667,600.0,8.0,0.2666666666666666,228.0,0,0,
94,12.0,23,0.3947222222222222,600.0,8.0,0.2666666666666666,164.0,0,0,
95,15.0,23,0.35105555555555557,600.0,7.0,0.2333333333333333,109.0,0,0,
96,8.0,24,0.3641111111111111,600.0,6.0,0.2,130.0,0,0,
97,10.0,24,0.3879444444444444,600.0,8.0,0.2666666666666666,130.0,0,0,
98,12.0,24,0.385,600.0,6.0,0.2,168.0,0,0,
99,15.0,24,0.41477777777777775,600.0,9.0,0.3,127.0,0,0,
100,8.0,25,0.4622777777777777,600.0,10.0,0.3333333333333333,310.0,0,0,
101,10.0,25,0.4233888888888888,600.0,9.0,0.3,139.0,0,0,
102,12.0,25,0.4776111111111111,600.0,12.0,0.4,158.0,0,0,
103,15.0,25,0.38461111111111107,600.0,8.0,0.2666666666666666,125.0,0,0,
104,8.0,26,0.3828888888888889,600.0,8.0,0.2666666666666666,119.0,0,0,
105,10.0,26,0.20455555555555552,600.0,2.0,0.0666666666666666,95.0,0,0,
106,12.0,26,0.16994444444444443,600.0,0.0,0.0,118.0,0,0,
107,15.0,26,0.3466111111111111,600.0,6.0,0.2,121.0,0,0,
108,8.0,27,0.41938888888888887,600.0,10.0,0.3333333333333333,156.0,0,0,
109,10.0,27,0.4106666666666666,600.0,10.0,0.3333333333333333,162.0,0,0,
110,12.0,27,0.4164444444444444,600.0,10.0,0.3333333333333333,172.0,0,0,
111,15.0,27,0.3346666666666666,600.0,6.0,0.2,88.0,0,0,
112,8.0,28,0.42238888888888887,600.0,9.0,0.3,159.0,0,0,
113,10.0,28,0.41477777777777775,600.0,8.0,0.2666666666666666,167.0,0,0,
114,12.0,28,0.3977222222222222,600.0,8.0,0.2666666666666666,147.0,0,0,
115,15.0,28,0.44038888888888883,600.0,10.0,0.3333333333333333,169.0,0,0,
116,8.0,29,0.5183333333333333,600.0,13.0,0.4333333333333333,,0,0,
117,10.0,29,0.4457777777777777,600.0,10.0,0.3333333333333333,278.0,0,0,
118,12.0,29,0.41627777777777775,600.0,7.0,0.2333333333333333,282.0,0,0,
119,15.0,29,0.47672222222222216,600.0,11.0,0.3666666666666666,306.0,0,0,
120,8.0,30,0.39994444444444444,600.0,10.0,0.3333333333333333,103.0,0,0,
121,10.0,30,0.40099999999999997,600.0,10.0,0.3333333333333333,101.0,0,0,
122,12.0,30,0.4007222222222222,600.0,10.0,0.3333333333333333,107.0,0,0,
123,15.0,30,0.4007222222222222,600.0,10.0,0.3333333333333333,105.0,0,0,
124,8.0,31,0.5343333333333333,600.0,10.0,0.3333333333333333,419.0,0,0,
125,10.0,31,0.4896666666666666,600.0,10.0,0.3333333333333333,220.0,0,0,
126,12.0,31,0.5183333333333333,600.0,10.0,0.3333333333333333,423.0,0,0,
127,15.0,31,0.4913888888888889,600.0,10.0,0.3333333333333333,247.0,0,0,
128,8.0,32,0.43122222222222223,600.0,10.0,0.3333333333333333,151.0,0,0,
129,10.0,32,0.4669444444444444,600.0,10.0,0.3333333333333333,246.0,0,0,
130,12.0,32,0.4557777777777777,600.0,10.0,0.3333333333333333,273.0,0,0,
131,15.0,32,0.4423333333333333,600.0,10.0,0.3333333333333333,157.0,0,0,
132,8.0,33,0.4592222222222222,600.0,10.0,0.3333333333333333,214.0,0,0,
133,10.0,33,0.44572222222222224,600.0,10.0,0.3333333333333333,213.0,0,0,
134,12.0,33,0.4552222222222222,600.0,11.0,0.3666666666666666,120.0,0,0,
135,15.0,33,0.4542222222222222,600.0,10.0,0.3333333333333333,196.0,0,0,
136,8.0,34,0.46627777777777774,600.0,10.0,0.3333333333333333,231.0,0,0,
137,10.0,34,0.5291111111111111,600.0,11.0,0.3666666666666666,519.0,0,0,
138,12.0,34,0.5021111111111111,600.0,12.0,0.4,385.0,0,0,
139,15.0,34,0.46433333333333326,600.0,10.0,0.3333333333333333,233.0,0,0,
140,8.0,35,0.4216666666666667,600.0,10.0,0.3333333333333333,117.0,0,0,
141,10.0,35,0.43372222222222223,600.0,10.0,0.3333333333333333,115.0,0,0,
142,12.0,35,0.42488888888888887,600.0,10.0,0.3333333333333333,114.0,0,0,
143,15.0,35,0.4285555555555555,600.0,9.0,0.3,109.0,0,0,
144,8.0,36,0.42311111111111105,600.0,10.0,0.3333333333333333,123.0,0,0,
145,10.0,36,0.46688888888888885,600.0,10.0,0.3333333333333333,321.0,0,0,
146,12.0,36,0.4414444444444445,600.0,10.0,0.3333333333333333,250.0,0,0,
147,15.0,36,0.44861111111111107,600.0,10.0,0.3333333333333333,187.0,0,0,
148,8.0,37,0.44949999999999996,600.0,10.0,0.3333333333333333,275.0,0,0,
149,10.0,37,0.41466666666666663,600.0,10.0,0.3333333333333333,131.0,0,0,
150,12.0,37,0.4483333333333333,600.0,11.0,0.3666666666666666,223.0,0,0,
151,15.0,37,0.44411111111111107,600.0,10.0,0.3333333333333333,231.0,0,0,
152,8.0,38,0.45877777777777773,600.0,10.0,0.3333333333333333,137.0,0,0,
153,10.0,38,0.5036111111111111,600.0,11.0,0.3666666666666666,237.0,0,0,
154,12.0,38,0.48138888888888887,600.0,11.0,0.3666666666666666,271.0,0,0,
155,15.0,38,0.47172222222222215,600.0,9.0,0.3,217.0,0,0,
156,8.0,39,0.3252222222222222,600.0,7.0,0.2333333333333333,86.0,0,0,
157,10.0,39,0.3460555555555555,600.0,8.0,0.2666666666666666,95.0,0,0,
158,12.0,39,0.40288888888888885,600.0,9.0,0.3,111.0,0,0,
159,15.0,39,0.4042222222222222,600.0,8.0,0.2666666666666666,185.0,0,0,
160,8.0,40,0.4774444444444444,600.0,9.0,0.3,246.0,0,0,
161,10.0,40,0.45372222222222225,600.0,9.0,0.3,218.0,0,0,
162,12.0,40,0.4423333333333333,600.0,7.0,0.2333333333333333,282.0,0,0,
163,15.0,40,0.3739444444444444,600.0,4.0,0.1333333333333333,135.0,0,0,
164,8.0,41,0.47061111111111115,600.0,10.0,0.3333333333333333,256.0,0,0,
165,10.0,41,0.46388888888888885,600.0,10.0,0.3333333333333333,238.0,0,0,
166,12.0,41,0.4626111111111111,600.0,10.0,0.3333333333333333,257.0,0,0,
167,15.0,41,0.4471666666666667,600.0,10.0,0.3333333333333333,185.0,0,0,
168,8.0,42,0.4524444444444444,600.0,10.0,0.3333333333333333,218.0,0,0,
169,10.0,42,0.47438888888888886,600.0,11.0,0.3666666666666666,245.0,0,0,
170,12.0,42,0.44416666666666665,600.0,10.0,0.3333333333333333,212.0,0,0,
171,15.0,42,0.4429444444444444,600.0,10.0,0.3333333333333333,194.0,0,0,
172,8.0,43,0.41183333333333333,600.0,10.0,0.3333333333333333,118.0,0,0,
173,10.0,43,0.41488888888888886,600.0,10.0,0.3333333333333333,100.0,0,0,
174,12.0,43,0.4259444444444444,600.0,10.0,0.3333333333333333,104.0,0,0,
175,15.0,43,0.43161111111111106,600.0,9.0,0.3,200.0,0,0,
176,8.0,44,0.31855555555555554,600.0,6.0,0.2,58.0,0,0,
177,10.0,44,0.28327777777777774,600.0,5.0,0.1666666666666666,45.0,0,0,
178,12.0,44,0.32088888888888883,600.0,6.0,0.2,44.0,0,0,
179,15.0,44,0.34294444444444444,600.0,5.0,0.1666666666666666,56.0,0,0,
180,8.0,45,0.5140555555555556,600.0,10.0,0.3333333333333333,255.0,0,0,
181,10.0,45,0.4825,600.0,8.0,0.2666666666666666,260.0,0,0,
182,12.0,45,0.5472222222222222,600.0,10.0,0.3333333333333333,417.0,0,0,
