coverage_radius,replications,J_delta_mean,J_delta_std,runs_reaching_90_percent_nominal_service,time_to_90_percent_nominal_service_mean_s,time_to_90_percent_nominal_service_std_s,event_episode_cases,event_episode_cases_reaching_90_percent_nominal_service,runs_contributing_to_event_response_mean,mean_event_response_time_mean_s,mean_event_response_time_std_s,final_residual_deficit_mean,final_residual_deficit_std,final_normalized_deficit_mean,final_normalized_deficit_std
8.0,100,0.4293044444444444,0.05253774555088487,99,181.76767676767676,79.34783001582954,0,0,0,,,9.3,1.7203476275439091,0.30999999999999994,0.05734492091813033
10.0,100,0.42550444444444446,0.06204959352297267,99,191.78787878787878,93.94899535986544,0,0,0,,,9.03,2.1007694598009374,0.301,0.07002564866003126
12.0,100,0.41964166666666664,0.06902934315689886,100,196.52,110.07898725162505,0,0,0,,,8.69,2.3982106123971136,0.28966666666666663,0.07994035374657049
15.0,100,0.41684277777777773,0.06293215133155991,100,187.08,95.08004920894689,0,0,0,,,8.41,2.3054393301604157,0.2803333333333333,0.07684797767201386
