point_sensing_radius,drone_sensing_radius,replications,J_delta_mean,J_delta_std,runs_reaching_90_percent_nominal_service,time_to_90_percent_nominal_service_mean_s,time_to_90_percent_nominal_service_std_s,event_episode_cases,event_episode_cases_reaching_90_percent_nominal_service,runs_contributing_to_event_response_mean,mean_event_response_time_mean_s,mean_event_response_time_std_s,final_residual_deficit_mean,final_residual_deficit_std,final_normalized_deficit_mean,final_normalized_deficit_std,mean_excess_service_units_mean,mean_excess_service_units_std,final_excess_service_units_mean,final_excess_service_units_std
10.0,10.0,100,0.4218422222222222,0.04896044192432922,100,213.21,69.27988834642366,0,0,0,,,8.18,1.7255068059482517,0.2726666666666666,0.05751689353160838,0.13066666666666665,0.42935410734608037,0.16,0.5811865258054231
10.0,25.0,100,0.45082944444444445,0.0672514282284431,94,254.27659574468086,109.45794147400771,0,0,0,,,8.9,2.409996018270737,0.29666666666666663,0.08033320060902459,0.09356666666666666,0.4355391939309895,0.1,0.5222329678670935
25.0,10.0,100,0.6641394444444444,0.08658039948623712,2,85.0,22.627416997969522,0,0,0,,,19.24,2.8572784960588646,0.6413333333333333,0.09524261653529549,0.24061666666666667,0.5474784897044938,0.23,0.6005889365506749
25.0,25.0,100,0.40265999999999996,0.07248986292552198,97,194.96907216494844,98.21940295500927,0,0,0,,,7.68,2.448994846375908,0.256,0.08163316154586361,0.4560333333333333,0.7420225862590158,0.53,0.9040313751594728
