point_sensing_radius,drone_sensing_radius,Step,simulated_time_s,replications,residual_deficit_mean,residual_deficit_std,normalized_deficit_mean,normalized_deficit_std,capacity_adjusted_coverage_mean,capacity_adjusted_coverage_std,normalized_unavoidable_deficit_mean,normalized_unavoidable_deficit_std,r_delta_mean,r_delta_std,covered_points_mean,covered_points_std,underserved_points_mean,underserved_points_std,exactly_satisfied_points_mean,exactly_satisfied_points_std,overserved_points_mean,overserved_points_std,excess_service_units_mean,excess_service_units_std,idle_drones_mean,idle_drones_std,exploring_drones_mean,exploring_drones_std,stationing_drones_mean,stationing_drones_std,active_points_mean,active_points_std,total_demand_mean,total_demand_std,mean_demand_per_point_mean,mean_demand_per_point_std,fleet_load_mean,fleet_load_std,overlapping_zones_mean,overlapping_zones_std
10.0,10.0,12.0,12.0,100,29.59,0.7925792188682568,0.9863333333333334,0.026419307295608593,0.020500000000000004,0.03962896094341291,0.33333333333333326,0.0,0.006333333333333335,0.01620228469015083,0.34,0.6231234454607115,14.93,0.293188669562103,0.07,0.2931886695621028,0.0,0.0,0.0,0.0,19.63,0.6912877750103691,15.69,3.943271983948602,0.37,0.6912877750103698,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,13.0,13.0,100,29.39,0.9628975631767462,0.9796666666666667,0.0320965854392249,0.030500000000000003,0.04814487815883735,0.33333333333333326,0.0,0.0066666666666666775,0.014213381090374051,0.47,0.7171069824248152,14.86,0.37658754867650873,0.1,0.30151134457776363,0.04,0.19694638556693236,0.04,0.19694638556693236,19.39,0.9836542876314603,15.25,4.031128874149275,0.61,0.9836542876314611,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,14.0,14.0,100,29.2,1.1634153830577252,0.9733333333333333,0.03878051276859087,0.04,0.05817076915288624,0.33333333333333326,0.0,0.006333333333333327,0.016880779552320774,0.57,0.7818005635787949,14.77,0.5096047190685832,0.17,0.4507009131689364,0.06,0.23868325657594203,0.07,0.2931886695621029,19.2,1.21439181269781,14.98,4.052633512154582,0.8,1.2143918126978106,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,15.0,15.0,100,28.9,1.374368541872553,0.9633333333333333,0.04581228472908511,0.055,0.06871842709362767,0.33333333333333326,0.0,0.010000000000000002,0.01740776559556979,0.74,0.8482900209220662,14.64,0.6438520439863921,0.23,0.468287229478799,0.13,0.36666666666666664,0.18,0.5925462944877059,18.83,1.570273089547667,14.71,4.000744880139147,1.17,1.5702730895476669,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,16.0,16.0,100,28.65,1.4932508094081112,0.955,0.049775026980270407,0.0675,0.07466254047040558,0.33333333333333326,0.0,0.008333333333333349,0.01732698666505906,0.87,0.9391055275735479,14.52,0.6887259501016604,0.27,0.5290548080293666,0.21,0.4776838056516236,0.31,0.8001893715259096,18.49,1.8613289485057323,14.31,4.076775810625477,1.51,1.8613289485057318,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,17.0,17.0,100,28.45,1.526698424970721,0.9483333333333333,0.050889947499024056,0.0775,0.07633492124853607,0.33333333333333326,0.0,0.006666666666666663,0.014213381090374025,0.98,0.9318169499868676,14.43,0.728288432150368,0.37,0.5972157622389638,0.2,0.4714045207910316,0.28,0.7258572083190239,18.31,1.8240536497514865,14.04,3.987151080329629,1.69,1.824053649751486,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,18.0,18.0,100,28.31,1.6434442767885642,0.9436666666666667,0.05478147589295215,0.0845,0.08217221383942827,0.33333333333333326,0.0,0.004666666666666663,0.012552918289216944,1.06,1.013245610238044,14.37,0.760847480700889,0.46,0.7023769168568492,0.17,0.40339468604243256,0.27,0.7501514998500454,18.16,1.9731531449264987,13.89,3.9206652702846436,1.84,1.9731531449264985,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,19.0,19.0,100,28.1,1.7494587907710364,0.9366666666666668,0.05831529302570123,0.095,0.0874729395385519,0.33333333333333326,0.0,0.007000000000000007,0.014444444444444458,1.17,1.1014682579322579,14.27,0.7766152928775694,0.5,0.6276459144608478,0.23,0.44619604333847385,0.31,0.6620293258480535,17.92,2.0185002933721448,13.78,3.796808867425061,2.08,2.0185002933721448,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,20.0,20.0,100,27.87,1.8837690565952767,0.929,0.06279230188650922,0.1065,0.09418845282976382,0.33333333333333326,0.0,0.007666666666666665,0.018260491964317394,1.29,1.165973820244241,14.16,0.8253557543339245,0.67,0.7661394761854377,0.17,0.3775251680686368,0.25,0.6571287406727709,17.77,2.0043135301825226,13.71,3.8093319756894513,2.23,2.0043135301825226,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
10.0,10.0,21.0,21.0,100,27.71,1.9295417365611225,0.9236666666666666,0.06431805788537075,0.1145,0.09647708682805614,0.33333333333333326,0.0,0.005333333333333328,0.013990537125802643,1.4,1.1976407785072427,14.11,0.8633385983225442,0.68,0.7898344027949046,0.21,0.4333333333333333,0.34,0.7550503361372738,17.53,2.217720187102698,13.69,3.656169547159398,2.47,2.217720187102699,15.0,0.0,30.0,0.0,2.0,0.0,1.5,0.0,7.32,2.624207432057277
