RunId,point_sensing_radius,drone_sensing_radius,seed,J_delta,final_time_s,final_residual_deficit,final_normalized_deficit,mean_excess_service_units,final_excess_service_units,time_to_90_percent_nominal_service_s,event_episodes,event_episodes_reaching_90_percent_nominal_service,mean_time_to_90_percent_nominal_service_after_event_s
224,10.0,10.0,56,0.3937222222222222,600.0,8.0,0.2666666666666666,0.015,0.0,141.0,0,0,
225,25.0,10.0,56,0.7833888888888889,600.0,23.0,0.7666666666666667,0.013333333333333334,0.0,,0,0,
226,10.0,25.0,56,0.47372222222222216,600.0,10.0,0.3333333333333333,0.01,0.0,241.0,0,0,
227,25.0,25.0,56,0.5267222222222222,600.0,9.0,0.3,0.023333333333333334,0.0,407.0,0,0,
228,10.0,10.0,57,0.4542222222222222,600.0,9.0,0.3,0.015,0.0,221.0,0,0,
229,25.0,10.0,57,0.6884999999999999,600.0,20.0,0.6666666666666666,0.04,0.0,,0,0,
230,10.0,25.0,57,0.3890555555555555,600.0,8.0,0.2666666666666666,0.011666666666666667,0.0,172.0,0,0,
231,25.0,25.0,57,0.45616666666666666,600.0,9.0,0.3,0.045,0.0,345.0,0,0,
232,10.0,10.0,58,0.4287222222222222,600.0,10.0,0.3333333333333333,0.006666666666666667,0.0,170.0,0,0,
233,25.0,10.0,58,0.5948333333333333,600.0,17.0,0.5666666666666667,0.041666666666666664,0.0,,0,0,
234,10.0,25.0,58,0.45072222222222225,600.0,10.0,0.3333333333333333,0.013333333333333334,0.0,261.0,0,0,
235,25.0,25.0,58,0.4235555555555555,600.0,10.0,0.3333333333333333,0.03666666666666667,0.0,166.0,0,0,
236,10.0,10.0,59,0.3238888888888889,600.0,6.0,0.2,2.816666666666667,3.0,112.0,0,0,
237,25.0,10.0,59,0.5191666666666667,600.0,15.0,0.5,2.848333333333333,3.0,,0,0,
238,10.0,25.0,59,0.3811111111111111,600.0,7.0,0.2333333333333333,2.8116666666666665,3.0,208.0,0,0,
239,25.0,25.0,59,0.3185,600.0,6.0,0.2,2.8316666666666666,3.0,131.0,0,0,
240,10.0,10.0,60,0.46705555555555556,600.0,10.0,0.3333333333333333,0.005,0.0,255.0,0,0,
241,25.0,10.0,60,0.7780555555555556,600.0,23.0,0.7666666666666667,0.01,0.0,,0,0,
242,10.0,25.0,60,0.46644444444444444,600.0,12.0,0.4,0.005,0.0,145.0,0,0,
243,25.0,25.0,60,0.43361111111111117,600.0,10.0,0.3333333333333333,0.011666666666666667,0.0,206.0,0,0,
244,10.0,10.0,61,0.4492222222222222,600.0,11.0,0.3666666666666666,0.013333333333333334,0.0,174.0,0,0,
245,25.0,10.0,61,0.6477222222222222,600.0,19.0,0.6333333333333333,0.021666666666666667,0.0,,0,0,
246,10.0,25.0,61,0.4373888888888889,600.0,8.0,0.2666666666666666,0.018333333333333333,0.0,264.0,0,0,
247,25.0,25.0,61,0.38149999999999995,600.0,7.0,0.2333333333333333,0.06666666666666667,0.0,152.0,0,0,
248,10.0,10.0,62,0.4177222222222222,600.0,8.0,0.2666666666666666,0.02,0.0,217.0,0,0,
249,25.0,10.0,62,0.7162222222222222,600.0,21.0,0.7,0.015,0.0,,0,0,
250,10.0,25.0,62,0.33561111111111114,600.0,6.0,0.2,0.015,0.0,101.0,0,0,
251,25.0,25.0,62,0.35916666666666663,600.0,5.0,0.1666666666666666,0.4533333333333333,1.0,164.0,0,0,
252,10.0,10.0,63,0.35877777777777775,600.0,6.0,0.2,0.021666666666666667,0.0,188.0,0,0,
253,25.0,10.0,63,0.5387222222222222,600.0,15.0,0.5,0.9433333333333334,1.0,,0,0,
254,10.0,25.0,63,0.46627777777777774,600.0,8.0,0.2666666666666666,0.013333333333333334,0.0,307.0,0,0,
255,25.0,25.0,63,0.3272222222222222,600.0,7.0,0.2333333333333333,0.056666666666666664,0.0,95.0,0,0,
256,10.0,10.0,64,0.5057777777777778,600.0,9.0,0.3,0.006666666666666667,0.0,362.0,0,0,
257,25.0,10.0,64,0.6930555555555555,600.0,20.0,0.6666666666666666,0.025,0.0,,0,0,
258,10.0,25.0,64,0.4184444444444444,600.0,7.0,0.2333333333333333,0.01,0.0,189.0,0,0,
259,25.0,25.0,64,0.41833333333333333,600.0,6.0,0.2,0.705,1.0,196.0,0,0,
260,10.0,10.0,65,0.47361111111111115,600.0,9.0,0.3,0.013333333333333334,0.0,364.0,0,0,
261,25.0,10.0,65,0.5917777777777777,600.0,17.0,0.5666666666666667,0.03666666666666667,0.0,,0,0,
262,10.0,25.0,65,0.4953888888888888,600.0,10.0,0.3333333333333333,0.015,0.0,291.0,0,0,
263,25.0,25.0,65,0.3851111111111111,600.0,6.0,0.2,0.041666666666666664,0.0,207.0,0,0,
264,10.0,10.0,66,0.3983888888888889,600.0,8.0,0.2666666666666666,0.008333333333333333,0.0,109.0,0,0,
265,25.0,10.0,66,0.503,600.0,14.0,0.4666666666666667,0.01,0.0,,0,0,
266,10.0,25.0,66,0.4326666666666666,600.0,9.0,0.3,0.01,0.0,241.0,0,0,
267,25.0,25.0,66,0.3331111111111111,600.0,8.0,0.2666666666666666,0.011666666666666667,0.0,73.0,0,0,
